course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject
348116,Photoshop In-Depth: Master all of Photoshop's Tools Easily,https://www.udemy.com/photoshop-tools/,0,53851,1779,45,All Levels,0.69,4.5,2014-11-30T04:22:11Z,Graphic Design
17349,Figure Drawing From Life Using The Reilly Technique.,https://www.udemy.com/figure-drawing-from-life-using-the-reilly-technique/,0,47811,1041,22,Beginner Level,0.11,2.5,2012-05-09T18:14:57Z,Graphic Design
399938,Professional Logo Design in Adobe Illustrator,https://www.udemy.com/professional-logo-design-crash-course/,0,44044,1563,45,Beginner Level,0.89,7.5,2015-01-22T11:18:06Z,Graphic Design
820194,Photoshop for Entrepreneurs - Design 11 Practical Projects,https://www.udemy.com/photoshop-for-entrepreneurs/,200,36288,737,63,All Levels,0.96,5,2016-06-09T01:57:03Z,Graphic Design
249126,Logo Design Essentials,https://www.udemy.com/logo-design/,20,33205,481,12,Beginner Level,0.88,0.7,2014-06-30T03:09:27Z,Graphic Design
874012,The Ultimate Drawing Course - Beginner to Advanced,https://www.udemy.com/the-ultimate-drawing-course-beginner-to-advanced/,150,26742,2379,62,Beginner Level,0.24,11,2017-01-23T00:20:05Z,Graphic Design
385462,Logo Designing for Your Business in an Hour,https://www.udemy.com/logo-designing-side-business/,20,25277,311,16,Beginner Level,0.38,1,2015-01-05T10:43:48Z,Graphic Design
178044,How To Make Graphics For A Website,https://www.udemy.com/how-to-make-graphics-for-a-website/,200,24857,35,11,All Levels,0.89,1.5,2014-03-15T21:53:19Z,Graphic Design
22445,Learn to Design a Letterhead - A Beginners Course,https://www.udemy.com/learn-to-design-a-letterhead/,0,24687,423,13,All Levels,0.11,0.7333333333,2012-10-10T23:34:55Z,Graphic Design
660876,Graphic Design - An Overview of the Field,https://www.udemy.com/graphic-design-secrets/,0,23229,2215,12,All Levels,0.53,1,2015-11-09T19:10:57Z,Graphic Design
897238,Canva Graphics Design for Entrepreneurs - Design 11 Projects,https://www.udemy.com/canva-graphic-design-course/,200,18303,202,54,All Levels,0.81,3.5,2016-07-23T00:41:07Z,Graphic Design
62721,Anatomy for Figure Drawing: Mastering the Human Figure,https://www.udemy.com/anatomy-for-figure-drawing-and-comics/,95,15500,754,65,Beginner Level,0.41,68.5,2013-10-16T11:37:30Z,Graphic Design
749542,Graphic Design Bootcamp,https://www.udemy.com/graphic-design-for-beginners/,200,15276,1740,65,All Levels,0.65,8,2016-05-13T00:03:03Z,Graphic Design
573064,Photoshop in Ease: Create World Amazing  Graphic Designs,https://www.udemy.com/photoshop-knights-become-a-professional-in-no-time/,20,14440,182,26,Beginner Level,0.2,3,2015-08-13T21:17:34Z,Graphic Design
1120554,Canva Graphics Design Essential Training For Everyone,https://www.udemy.com/canva-graphics-design-essential-training/,200,12340,124,46,Beginner Level,0.88,2.5,2017-03-07T03:54:27Z,Graphic Design
611370,"Quote Images for Pinterest, Facebook, & Instagram",https://www.udemy.com/viral-images-pinterest-facebook-instagram/,0,12103,576,18,All Levels,0.75,1,2015-09-24T19:47:45Z,Graphic Design
47004,Photoshop Course: Design an eBook Cover in Photoshop,https://www.udemy.com/ebook-cover-design/,50,11893,69,40,All Levels,0.27,3,2013-04-25T17:04:18Z,Graphic Design
20461,How to Design a Logo - a Beginners Course,https://www.udemy.com/how-to-design-a-logo-a-beginners-course/,30,10875,650,41,All Levels,0.8,2.5,2012-07-25T13:41:42Z,Graphic Design
364986,Apple Watch Design,https://www.udemy.com/apple-watch-design/,20,9847,24,35,All Levels,0.94,4,2014-12-29T04:59:24Z,Graphic Design
693812,Master App Icon Design for iPhone (IOS) & Android Devices,https://www.udemy.com/how-to-design-ios-app-icons/,25,9464,329,43,All Levels,0.18,2,2015-12-21T18:57:07Z,Graphic Design
1145736,Create Professional Looking Infographics With No Experience,https://www.udemy.com/create-professional-looking-infographics/,180,9367,104,21,All Levels,0.11,2,2017-03-21T19:00:13Z,Graphic Design
28556,Discover How to Draw and paint Comics,https://www.udemy.com/learn-to-draw-and-paint/,65,8901,424,85,Beginner Level,0.61,62,2012-11-21T22:03:54Z,Graphic Design
627782,Learn Illustrator By Recreating Top 3 Logos - Beginner Guide,https://www.udemy.com/learn-illustrator/,0,8786,245,11,All Levels,0.88,1,2015-10-04T19:36:34Z,Graphic Design
416548,Logo Design Masterclass: Learn Logo Design + Illustrator,https://www.udemy.com/become-a-professional-logo-designer/,200,8196,479,85,All Levels,0.48,6.5,2015-08-18T18:56:04Z,Graphic Design
371074,Sketch 3 from A to Z: Become an App Designer,https://www.udemy.com/learnsketch3/,75,7282,1629,42,All Levels,0.32,3.5,2015-01-03T08:21:48Z,Graphic Design
520468,Canva : Graphic Design Theory Volume1,https://www.udemy.com/canva-course-graphic-design-theory-in-social-media-volume-1/,200,6975,122,29,All Levels,0.32,2.5,2015-06-05T21:37:33Z,Graphic Design
1094930,DIY Design Professional Web Banners in Photoshop 4 Beginners,https://www.udemy.com/design-professional-web-banners-in-photoshop-for-beginners/,200,6944,30,24,All Levels,0.89,1,2017-02-01T15:44:11Z,Graphic Design
396204,Graphic Design Masterclass: Learn Graphic Design in Projects,https://www.udemy.com/graphic-design/,95,6858,382,41,All Levels,0.15,3.5,2015-11-09T21:17:04Z,Graphic Design
755680,Draw a realistic Fantail using pencil,https://www.udemy.com/draw-a-realistic-fantail-using-pencil/,0,6754,109,20,All Levels,0.38,1,2016-02-11T22:05:05Z,Graphic Design
371490,Graphic Design: Create Animated GIF Ad Banners in Photoshop,https://www.udemy.com/create-cool-animated-gif-advertising-banners-with-photoshop/,20,6612,44,20,All Levels,0.84,1,2014-12-19T22:46:05Z,Graphic Design
611804,Primeros Pasos con Photoshop CC,https://www.udemy.com/felinu-primeros-pasos-con-photoshop/,0,6429,654,31,All Levels,0.71,2.5,2015-09-23T15:30:59Z,Graphic Design
1228900,Learn Professional Book-Cover Designing Photoshop 4 Beginner,https://www.udemy.com/learn-professional-book-cover-designing-photoshop/,200,6428,21,54,All Levels,0.54,3,2017-06-13T16:13:33Z,Graphic Design
590622,Logo Design - Guide to Logo Design in Photoshop,https://www.udemy.com/graphic-design-mastering-logo-design/,25,6215,86,17,All Levels,0.45,2,2016-02-05T05:20:39Z,Graphic Design
400130,The Business Graphic Design with Photoshop & Illustrator,https://www.udemy.com/businessgraphicdesign/,200,6039,128,111,All Levels,0.34,17,2015-02-25T10:17:52Z,Graphic Design
561188,Photoshop CC for Beginners - A Comprehensive Crash Course,https://www.udemy.com/photoshop-cc-for-beginners-a-comprehensive-crash-course/,200,6028,205,20,All Levels,0.88,2.5,2015-07-29T18:35:20Z,Graphic Design
269082,Photoshop: Real World Hands-on Freelance Mastery,https://www.udemy.com/photoshop-real-world-hands-on-graphic-and-web-design/,105,5950,25,29,All Levels,0.6,2.5,2014-09-25T09:14:15Z,Graphic Design
507726,Typography: Learn the Basics to Build a Solid Foundation,https://www.udemy.com/typography-elements-course-a-beginner-guidelines-class/,35,5850,19,34,All Levels,0.15,1,2015-05-26T17:36:32Z,Graphic Design
516394,Book Covers and Graphic Design with PowerPoint 2013/2016/365,https://www.udemy.com/book-cover-design-with-microsoft-powerpoint-2013/,195,5840,57,30,Intermediate Level,0.9,4,2015-06-03T16:52:27Z,Graphic Design
1149656,Mastering advance Photoshop,https://www.udemy.com/advanced-photoshop-practical-projectspsd-files/,20,5787,40,21,All Levels,0.89,2,2017-04-27T23:39:34Z,Graphic Design
337072,Bestseller! Learn Photoshop in 1 Hour (No Experience Needed),https://www.udemy.com/learn-photoshop-in-one-hour-no-experience-needed/,200,5471,72,39,All Levels,0.31,6.5,2015-03-05T22:03:28Z,Graphic Design
1046722,Ultimate Photoshop Training: From Beginner to Pro,https://www.udemy.com/ultimate-photoshop-training-from-beginner-to-pro/,200,5326,447,150,All Levels,0.61,11.5,2017-01-12T16:56:22Z,Graphic Design
839536,Start Making Comics with Manga Studio 5 / Clip Studio Paint,https://www.udemy.com/start-making-comics/,0,5301,125,77,Intermediate Level,0.88,6.5,2016-06-21T02:49:47Z,Graphic Design
874656,Create Stunning Infographics to Share your Ideas,https://www.udemy.com/infographic/,0,5175,470,7,All Levels,0.24,0.5,2016-08-14T22:04:11Z,Graphic Design
600486,Teoria Basica del Arte. Como Pintar Ilustraciones Digitales,https://www.udemy.com/teoria-basica-del-arte-como-pintar-ilustraciones-digitales/,20,5104,437,26,All Levels,0.14,1,2015-09-08T17:29:12Z,Graphic Design
930416,How to design a business card on Photoshop (for beginners),https://www.udemy.com/businesscarddesignphotoshop/,0,5086,197,12,All Levels,0.74,1,2016-08-27T19:02:40Z,Graphic Design
133968,Web Elements Design With Photoshop,https://www.udemy.com/web-elements-design-with-photoshop/,45,5072,38,44,Beginner Level,0.96,5,2014-10-21T19:18:12Z,Graphic Design
895394,How To Build Your Own Web Banner Design Business,https://www.udemy.com/how-to-build-your-own-web-banner-design-business/,20,5000,7,21,Beginner Level,0.96,1,2016-07-05T18:41:46Z,Graphic Design
520766,Canva : Graphic Design Theory Volume2,https://www.udemy.com/canva-course-graphic-design-theory-in-social-media-volume-2/,200,4961,38,29,Intermediate Level,0.96,2,2015-06-20T00:03:03Z,Graphic Design
482924,Mastering Retouching and Restoration (15 projects Included),https://www.udemy.com/mastering-beauty-retouching-and-photo-restoration/,100,4927,15,22,Intermediate Level,0.96,2.5,2015-04-26T12:27:22Z,Graphic Design
1132572,How to Design an Awesome Letterhead in Adobe Illustrator,https://www.udemy.com/letterheaddesign/,0,4776,115,18,All Levels,0.96,0.5666666667,2017-03-03T03:20:22Z,Graphic Design
449788,Graphic Design: Beginner's Graphic Design Guide to Photoshop,https://www.udemy.com/how-to-use-adobe-photoshop-for-beginners/,25,4550,74,15,All Levels,0.96,1,2015-05-20T21:10:45Z,Graphic Design
563708,Bestseller!! Learn Illustrator CC in 1 Hour,https://www.udemy.com/1hourillustrator/,200,4449,100,9,Beginner Level,0.96,1.5,2015-07-28T20:22:14Z,Graphic Design
367460,Complete Digital Painting Training with Corel Painter,https://www.udemy.com/digital-portrait-painting/,30,4353,23,57,Beginner Level,0.96,3.5,2015-02-09T13:36:24Z,Graphic Design
595876,Logo Design in Adobe Illustrator - for Beginners & Beyond,https://www.udemy.com/logodesign/,200,4297,337,110,Beginner Level,0.96,7.5,2015-10-01T21:40:39Z,Graphic Design
787340,Most Wanted Flat Design Techniques #1: Desert Island,https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-desert-island/,0,4294,143,15,All Levels,0.96,1,2016-03-17T18:15:21Z,Graphic Design
317278,Typographic Logos: Typography and Lettering for Logo Design,https://www.udemy.com/typographic-logos-typography-and-lettering-for-logo-design/,25,4235,427,20,Beginner Level,0.96,1.5,2014-10-16T19:30:01Z,Graphic Design
475214,Text based Logo Design for Business Using Adobe Photoshop,https://www.udemy.com/text-based-logo-design-using-adobe-photoshop/,20,4208,25,19,All Levels,0.96,1,2015-08-03T22:10:33Z,Graphic Design
62497,How to Draw Cute Cartoon Characters,https://www.udemy.com/draw-cute-characters/,55,4080,522,26,Beginner Level,0.96,2,2013-10-01T01:11:51Z,Graphic Design
77532,Graphic Design for Entrepreneurs...Who Can't Draw,https://www.udemy.com/graphic-design-for-entrepreneurs/,20,3903,51,13,Expert Level,0.96,1.5,2013-08-17T02:34:46Z,Graphic Design
525446,Draw a Kitten,https://www.udemy.com/draw-a-kitten/,0,3812,68,11,All Levels,0.96,1.5,2015-06-12T18:37:40Z,Graphic Design
1062048,Mastering Photoshop CC 2017 - The Art of Design & Technology,https://www.udemy.com/mastering-basics-of-photoshopcc-a-complete-beginners-guide/,20,3721,95,46,All Levels,0.96,6.5,2017-02-04T05:52:17Z,Graphic Design
278948,Become a Professional Graphic Designer,https://www.udemy.com/become-a-professional-graphic-designer-udemy/,35,3618,345,207,Beginner Level,0.96,20.5,2014-08-13T16:37:12Z,Graphic Design
737642,How To Design A Fortune 500 Logo in Illustrator,https://www.udemy.com/logo-logo-design-logos-logo-maker-graphic-design-logo-creator/,195,3599,43,72,All Levels,0.96,5,2016-01-24T22:45:26Z,Graphic Design
117004,How to Draw Pinups and Sexy Women,https://www.udemy.com/how-to-draw-pinups/,75,3525,109,33,Intermediate Level,0.96,20,2013-11-19T03:05:51Z,Graphic Design
1156778,How to stylize your photos in Photoshop with color overlays,https://www.udemy.com/how-to-stylize-your-photos-in-photoshop-with-color-overlays/,0,3512,58,17,All Levels,0.96,1.5,2017-03-30T16:26:36Z,Graphic Design
395140,Design and Animate a Gamer UI,https://www.udemy.com/design-and-animate-a-gamer-ui/,20,3481,37,6,All Levels,0.96,1.5,2015-01-15T19:59:29Z,Graphic Design
286424,Learn to Design a Logo in Adobe Illustrator,https://www.udemy.com/learn-to-design-a-logo-in-adobe-illustrator/,20,3390,49,29,Beginner Level,0.96,4.5,2014-08-23T23:17:22Z,Graphic Design
327666,Digital Art for Beginners,https://www.udemy.com/digital-art-101-from-beginner-to-pro/,150,3381,388,57,Intermediate Level,0.96,15,2016-02-14T23:43:10Z,Graphic Design
757900,Canva : Book Cover Design,https://www.udemy.com/canva-book-cover-design/,100,3377,20,15,Beginner Level,0.96,2,2016-02-26T01:08:20Z,Graphic Design
464184,Expert Guide : Mastering Photoshop Smart Objects in depth !,https://www.udemy.com/a-genius-guide-become-photoshop-smarty-with-smart-objects/,195,3360,26,16,All Levels,0.96,2,2015-04-07T22:23:50Z,Graphic Design
1226518,Photoshop & Illustrator CC Essentials in Arabic,https://www.udemy.com/photoshop-illustrator-cc-essentials-arabic/,0,3329,193,33,All Levels,0.96,3.5,2017-05-31T23:16:00Z,Graphic Design
902300,Convert Image to Vector in Adobe illustrator,https://www.udemy.com/convert-image-to-vector-in-adobe-illustrator/,0,3251,158,13,All Levels,0.96,0.5166666667,2016-07-13T16:57:42Z,Graphic Design
558432,Easy Typography Tips to Beautify and Strengthen Your Work,https://www.udemy.com/typography-tips/,45,3192,11,18,All Levels,0.96,1,2015-08-06T21:35:13Z,Graphic Design
356840,Logo design: How To Design an Awesome Logo in Illustrator,https://www.udemy.com/designing-logos-learning-illustrator/,195,3131,131,56,Intermediate Level,0.96,5.5,2014-11-28T09:04:50Z,Graphic Design
482208,Learn Photoshop CC Essentials,https://www.udemy.com/learn-photoshop-cc-essentials/,75,3117,30,62,All Levels,0.96,4.5,2015-05-06T00:47:09Z,Graphic Design
901082,"Digital Art in Adobe Illustrator CC: Angry Bird, Tom & Jerry",https://www.udemy.com/adobe-illustrator-cc-course/,0,3108,27,28,Beginner Level,0.96,2.5,2016-08-12T17:34:45Z,Graphic Design
809216,Canva: Design Album Cover Artwork in Minutes - No More Fees!,https://www.udemy.com/canva-make-album-covers-for-free/,0,3103,42,11,All Levels,0.96,0.6666666667,2016-04-07T23:57:25Z,Graphic Design
405488,Photoshop para novatos:  ¡desde cero hasta experto!,https://www.udemy.com/aprende-photoshop-en-10-dias-desde-cero-a-experto/,150,3000,470,134,All Levels,0.96,12,2015-01-30T17:41:47Z,Graphic Design
