location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Albania,2021-01-10,Pfizer/BioNTech,https://www.france24.com/en/live-news/20210111-albania-starts-covid-19-vaccinations-as-pm-blasts-slow-eu-help,0,0,,
Albania,2021-01-12,Pfizer/BioNTech,https://shendetesia.gov.al/dita-iii-e-vaksinimit-anticovid-kryhen-60-vaksinime-te-personelit-shendetesor/,128,128,,
Albania,2021-01-13,Pfizer/BioNTech,https://shendetesia.gov.al/dita-iii-e-vaksinimit-anticovid-kryhen-60-vaksinime-te-personelit-shendetesor/,188,188,,
Albania,2021-01-14,Pfizer/BioNTech,https://shendetesia.gov.al/dita-iv-e-vaksinimit-anticovid-kryhen-78-vaksinime-te-personelit-shendetesor/,266,266,,
Albania,2021-01-15,Pfizer/BioNTech,https://shendetesia.gov.al/dita-peste-e-vaksinimit-anticovid-kryhen-42-vaksinime-te-personelit-shendetesor/,308,308,,
Albania,2021-01-16,Pfizer/BioNTech,https://shendetesia.gov.al/16-janar-tirane-ne-diten-e-gjashte-te-vaksinimit-anti-covid-jane-vaksinuar-61-personel-shendetesor-i-spitaleve-covid-1234/,369,369,,
Albania,2021-01-17,Pfizer/BioNTech,https://shendetesia.gov.al/17-janar-ne-javen-e-pare-kryhen-405-vaksinime-anticovid-te-personelit-shendetesor/,405,405,,
Albania,2021-01-18,Pfizer/BioNTech,https://shendetesia.gov.al/18-janar-nis-java-e-dyte-e-vaksinimit-anticovid-vaksinohen-42-mjeke-dhe-infermiere/,447,447,,
Albania,2021-01-19,Pfizer/BioNTech,https://shendetesia.gov.al/19-janar-vijon-vaksinimit-anticovid-vaksinohen-483-personel-shendetesor/,483,483,,
Albania,2021-01-20,Pfizer/BioNTech,https://shendetesia.gov.al/20-janar-vijon-vaksinimit-anticovid-vaksinohen-519-personel-shendetesor/,519,519,,
Albania,2021-01-21,Pfizer/BioNTech,https://shendetesia.gov.al/21-janar-vijon-vaksinimi-anticovid-vaksinohen-549-personel-shendetesor/,549,549,,
Albania,2021-02-02,Pfizer/BioNTech,https://www.thestar.com.my/news/world/2021/02/03/albanian-pm-gets-second-dose-of-covid-19-vaccine,550,549,1,
Albania,2021-02-09,Pfizer/BioNTech,https://shendetesia.gov.al/vaksinimi-anticovid-vaksinohen-48-mjeke-dhe-infermiere/,1127,689,438,
Albania,2021-02-17,Pfizer/BioNTech,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-424-vaksinime-ne-dy-qendrat-e-vaksinimit-ne-shkoder-dhe-tirane/,1701,1090,611,
Albania,2021-02-18,Pfizer/BioNTech,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-736-te-vaksinuar-3935-testime-991-te-sheruar-1112-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/,3049,2438,611,
Albania,2021-02-19,Pfizer/BioNTech,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/,4177,,,
Albania,2021-02-22,Pfizer/BioNTech,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-6278-vaksinime/,6728,6073,655,
Albania,2021-02-25,Pfizer/BioNTech,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/,10135,,,
Albania,2021-03-01,Pfizer/BioNTech,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/,14295,,,
Albania,2021-03-03,Pfizer/BioNTech,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-766-te-vaksinuar-3149-testime-903-te-sheruar-851-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/,15793,,,
Albania,2021-03-10,Pfizer/BioNTech,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-702-te-vaksinuar-3035-testime-714-te-sheruar-631-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/,21613,,,
Albania,2021-03-12,Pfizer/BioNTech,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-942-te-vaksinuar-3340-testime-872-te-sheruar-681-raste-te-reja-dhe-16-humbje-jete-ne-24-oret-e-fundit/,23635,,,
Albania,2021-03-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://shendetesia.gov.al/covid19-ministria-e-shendetesise-3338-te-vaksinuar-2997-testime-744-te-sheruar-446-raste-te-reja-dhe-15-humbje-jete-ne-24-oret-e-fundit/,33369,,,
Albania,2021-03-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.al/lajme/covid19-ministria-e-shendetesise-1714-te-vaksinuar-1993-testime-699-te-sheruar-344-raste-te-reja-dhe-8-humbje-jete-ne-24-oret-e-fundit/,48229,,,
Albania,2021-03-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.al/lajme/covid19-ministria-e-shendetesise-3461-te-vaksinuar-2174-testime-651-te-sheruar-303-raste-te-reja-dhe-11-humbje-jete-ne-24-oret-e-fundit/,51690,,,
Albania,2021-03-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.al/lajme/covid19-ministria-e-shendetesise-2302-te-vaksinuar-2475-testime-696-te-sheruar-448-raste-te-reja-dhe-15-humbje-jete-ne-24-oret-e-fundit/,53992,,,
Albania,2021-03-25,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.al/lajme/covid19-ministria-e-shendetesise-5356-te-vaksinuar-2794-testime-567-te-sheruar-472-raste-te-reja-dhe-13-humbje-jete-ne-24-oret-e-fundit/,59348,,,
