col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
project_edt_idu.project_edt_1,abierto,,EDT 1,1,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,1000
project_edt_idu.project_edt_1_1,abierto,project_edt_idu.project_edt_1,EDT 1.1,1.1,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_1_1,abierto,project_edt_idu.project_edt_1_1,EDT 1.1.1,1.1.1,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_1_2,abierto,project_edt_idu.project_edt_1_1,EDT 1.1.2,1.1.2,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_2,abierto,project_edt_idu.project_edt_1,EDT 1.2,1.2,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_3,abierto,project_edt_idu.project_edt_1,EDT 1.3,1.3,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_3_1,abierto,project_edt_idu.project_edt_1_3,EDT 1.3.1,1.3.1,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_3_2,abierto,project_edt_idu.project_edt_1_3,EDT 1.3.2,1.3.2,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_3_3,abierto,project_edt_idu.project_edt_1_3,EDT 1.3.3,1.3.3,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_4,abierto,project_edt_idu.project_edt_1,EDT 1.4,1.4,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,1000
project_edt_idu.project_edt_1_4_1,abierto,project_edt_idu.project_edt_1_4,EDT 1.4.1,1.4.1,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,1000
project_edt_idu.project_edt_1_4_1_1,abierto,project_edt_idu.project_edt_1_4_1,EDT 1.4.1.1,1.4.1.1,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_4_1_2,abierto,project_edt_idu.project_edt_1_4_1,EDT 1.4.1.2,1.4.1.2,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_4_1_3,abierto,project_edt_idu.project_edt_1_4_1,EDT 1.4.1.3,1.4.1.3,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_1_4_1_4,abierto,project_edt_idu.project_edt_1_4_1,EDT 1.4.1.4,1.4.1.4,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,1000
project_edt_idu.project_edt_1_4_2,abierto,project_edt_idu.project_edt_1_4,EDT 1.4.2,1.4.2,project_edt_idu.group_project_user_user_01,project.project_project_data,project_edt_idu.group_project_user_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2,abierto,,EDT 2,2,project_edt_idu.group_project_user_user_02,project.project_project_1,project_edt_idu.group_project_user_externo_user_01,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_1,abierto,project_edt_idu.project_edt_2,EDT 2.1,2.1,project_edt_idu.group_project_user_user_02,project.project_project_1,project_edt_idu.group_project_user_externo_user_01,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_2,abierto,project_edt_idu.project_edt_2,EDT 2.2,2.2,project_edt_idu.group_project_user_user_02,project.project_project_1,project_edt_idu.group_project_user_externo_user_01,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_2_1,abierto,project_edt_idu.project_edt_2_2,EDT 2.2.1,2.2.1,project_edt_idu.group_project_user_user_02,project.project_project_1,project_edt_idu.group_project_user_externo_user_01,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_2_2,abierto,project_edt_idu.project_edt_2_2,EDT 2.2.2,2.2.2,project_edt_idu.group_project_user_user_03,project.project_project_1,project_edt_idu.group_project_user_externo_user_01,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_3,abierto,project_edt_idu.project_edt_2,EDT 2.3,2.3,project_edt_idu.group_project_user_user_03,project.project_project_1,project_edt_idu.group_project_user_externo_user_01,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_3_1,abierto,project_edt_idu.project_edt_2_3,EDT 2.3.1,2.3.1,project_edt_idu.group_project_user_user_03,project.project_project_2,project_edt_idu.group_project_user_externo_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_3_1_1,abierto,project_edt_idu.project_edt_2_3_1,EDT 2.3.1.1,2.3.1.1,project_edt_idu.group_project_user_user_03,project.project_project_2,project_edt_idu.group_project_user_externo_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_3_1_2,abierto,project_edt_idu.project_edt_2_3_1,EDT 2.3.1.2,2.3.1.2,project_edt_idu.group_project_user_user_03,project.project_project_2,project_edt_idu.group_project_user_externo_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_3_1_3,abierto,project_edt_idu.project_edt_2_3_1,EDT 2.3.1.3,2.3.1.3,project_edt_idu.group_project_user_user_03,project.project_project_2,project_edt_idu.group_project_user_externo_user_02,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_4,abierto,project_edt_idu.project_edt_2,EDT 2.4,2.4,project_edt_idu.group_project_user_user_03,project.project_project_1,project_edt_idu.group_project_user_user_04,2016-01-01,2016-12-31,0
project_edt_idu.project_edt_2_5,abierto,project_edt_idu.project_edt_2,EDT 2.5,2.5,project_edt_idu.group_project_user_user_03,project.project_project_1,project_edt_idu.group_project_user_user_04,2016-01-01,2016-12-31,0
