col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
testscheme1,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto 1,TestKoder 1,TestScheme 1,testi määrite 1,test definitionen 1,test definition 1,testi kuvaus 1,test beskrivning 1,test description 1,testi muutos 1,test changenote 1,test changenote 1,2017-01-01,2022-12-31,,,
testscheme2,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto 2,TestKoder 2,TestScheme 2,testi määrite 2,test definitionen 2,test definition 2,testi kuvaus 2,test beskrivning 2,test description 2,testi muutos 2,test changenote 2,test changenote 2,2017-01-01,2022-12-31,,,
testscheme3,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto 3,TestKoder 3,TestScheme 3,testi määrite 3,test definitionen 3,test definition 3,testi kuvaus 3,test beskrivning 3,test description 3,testi muutos 3,test changenote 3,test changenote 3,2017-01-01,2022-12-31,,,
testscheme4,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto 4,TestKoder 4,TestScheme 4,testi määrite 4,test definitionen 4,test definition 4,testi kuvaus 4,test beskrivning 4,test description 4,testi muutos 4,test changenote 4,test changenote 4,2017-01-01,2022-12-31,,,
testscheme5,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto 5,TestKoder 5,TestScheme 5,testi määrite 5,test definitionen 5,test definition 5,testi kuvaus 5,test beskrivning 5,test description 5,testi muutos 5,test changenote 5,test changenote 5,2017-01-01,2022-12-31,,,
testscheme6,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto 6,TestKoder 6,TestScheme 6,testi määrite 6,test definitionen 6,test definition 6,testi kuvaus 6,test beskrivning 6,test description 6,testi muutos 6,test changenote 6,test changenote 6,2017-01-01,2022-12-31,,,
testscheme7,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto 7,TestKoder 7,TestScheme 7,testi määrite 7,test definitionen 7,test definition 7,testi kuvaus 7,test beskrivning 7,test description 7,testi muutos 7,test changenote 7,test changenote 7,2017-01-01,2022-12-31,,,
testscheme8,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto 8,TestKoder 8,TestScheme 8,testi määrite 8,test definitionen 8,test definition 8,testi kuvaus 8,test beskrivning 8,test description 8,testi muutos 8,test changenote 8,test changenote 8,2017-01-01,2022-12-31,,,
broadercodescheme1,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto broader 1,TestKoder broader 1,TestScheme broader 1,testi määrite 1,test definitionen 1,test definition 1,testi kuvaus 1,test beskrivning 1,test description 1,testi muutos 1,test changenote 1,test changenote 1,2017-01-01,2022-12-31,,,
broadercodescheme2,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto broader 2,TestKoder broader 2,TestScheme broader 2,testi määrite 2,test definitionen 2,test definition 2,testi kuvaus 2,test beskrivning 2,test description 2,testi muutos 2,test changenote 2,test changenote 2,2017-01-01,2022-12-31,,,
broadercodescheme3,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto broader 3,TestKoder broader 3,TestScheme broader 3,testi määrite,test definitionen,test definition,testi kuvaus,test beskrivning,test description,testi muutos,test changenote,test changenote,2017-01-01,2022-12-31,,,
duplicatecodescheme1,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto duplicate 1,TestKoder duplicate 1,TestScheme duplicate 1,testi määrite 1,test definitionen 1,test definition 1,testi kuvaus 1,test beskrivning 1,test description 1,testi muutos 1,test changenote 1,test changenote 1,2017-01-01,2022-12-31,,,
duplicateheadercodescheme1,,d9c76d52-03d3-4480-8c2c-b66e6d9c57f2,P9,fi;sv;en,1,DRAFT,Testikoodisto duplicate header 1,TestKoder duplicate header 1,TestScheme duplicate header 1,testi määrite 1,test definitionen 1,test definition 1,testi kuvaus 1,test beskrivning 1,test description 1,testi muutos 1,test changenote 1,test changenote 1,2017-01-01,2022-12-31,,,
