col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50
0014W00002578rVQAQ,Burlington Textiles Corp of America,CD656092,,,350000000.0,Burlington,USA,,,,27215.0,NC,525 S. Lexington Ave,Pending,,,,,(336) 222-8000,Apparel,,,,9000.0,6.0,0054W00000AuCYfQAN,Public,,(336) 222-7000,Warm,,,,,,,,,546732.0,,,Silver,2019-10-22,5367.0,BTXT,,Customer - Direct,Maybe,www.burlington.com,
0014W00002578rXQAQ,Dickenson plc,CC634267,,Yes,50000000.0,Lawrence,USA,,,,66045.0,KS,1301 Hoch Drive,Pending,Low,,,,(785) 241-6201,Consulting,,,,120.0,2.0,0054W00000AuCYfQAN,Private,,(785) 241-6200,,Lawrence,USA,,,,66045.0,KS,1301 Hoch Drive,6752.0,,,Bronze,2020-04-23,7425.0,,,Customer - Channel,No,dickenson-consulting.com,
0014W00002578rUQAQ,Edge Communications,CD451796,,Yes,139000000.0,Austin,,,,,,TX,"312 Constitution Place
Austin, TX 78767
USA",Pending,Medium,,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",,(512) 757-9000,Electronics,,,,1000.0,2.0,0054W00000AuCYfQAN,Public,,(512) 757-6000,Hot,,,,,,,,"312 Constitution Place
Austin, TX 78767
USA",6576.0,,,Silver,2019-10-22,2657.0,EDGE,,Customer - Direct,Maybe,http://edgecomm.com,
0014W00002578raQAA,Express Logistics and Transport,CC947211,,Yes,950000000.0,Portland,,,,,,OR,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",Pending,Medium,,Commerical logistics and transportation company.,,(503) 421-7801,Transportation,,,,12300.0,150.0,0054W00000AuCYfQAN,Public,,(503) 421-7800,Cold,,,,,,,,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",8742.0,,,Platinum,2020-04-23,4724.0,EXLT,,Customer - Channel,Maybe,www.expressl&t.net,
0014W00002578reQAA,GenePoint,CC978213,,Yes,30000000.0,Mountain View,,,,,,CA,"345 Shoreline Park
Mountain View, CA 94043
USA",Pending,Low,,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,,(650) 867-9895,Biotechnology,,,,265.0,1.0,0054W00000AuCYfQAN,Private,,(650) 867-3450,Cold,,,,,,,,"345 Shoreline Park
Mountain View, CA 94043
USA",3712.0,,,Bronze,2020-04-23,7324.0,,,Customer - Channel,Yes,www.genepoint.com,
0014W00002578rYQAQ,Grand Hotels & Resorts Ltd,CD439877,,Yes,500000000.0,Chicago,,,,,,IL,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",Pending,High,,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",,(312) 596-1500,Hospitality,,,,5600.0,57.0,0054W00000AuCYfQAN,Public,,(312) 596-1000,Warm,,,,,,,,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",2268.0,,,Gold,2020-04-23,5572.0,GHTL,,Customer - Direct,Yes,www.grandhotels.com,
0014W00002578rWQAQ,Pyramid Construction Inc.,CC213425,,Yes,950000000.0,Paris,France,,,,75251.0,,2 Place Jussieu,Pending,,,,,(014) 427-4428,Construction,,,,2680.0,17.0,0054W00000AuCYfQAN,Public,,(014) 427-4427,,Paris,France,,,,75251.0,,2 Place Jussieu,4253.0,,,Silver,2020-04-23,9840.0,PYR,,Customer - Channel,Maybe,www.pyramid.com,
0014W00002578rfQAA,sForce,,,,,San Francisco,US,,,,94087.0,CA,The Landmark @ One Market,Pending,,,,,(415) 901-7002,,,,,,,0054W00000AuCYfQAN,,,(415) 901-7000,,,,,,,,,,,,,,,,,,,,www.sforce.com,
0014W00002578rZQAQ,United Oil & Gas Corp.,CD355118,,Yes,5600000000.0,New York,,,,,,NY,"1301 Avenue of the Americas 
New York, NY 10019
USA",Pending,High,,World's third largest oil and gas company.,,(212) 842-5501,Energy,,,,145000.0,955.0,0054W00000AuCYfQAN,Public,,(212) 842-5500,Hot,,,,,,,,"1301 Avenue of the Americas 
New York, NY 10019
USA",4437.0,,,Platinum,2020-04-23,6654.0,UOS,,Customer - Direct,Yes,http://www.uos.com,
0014W00002578rdQAA,"United Oil & Gas, Singapore",CD355120-B,,Yes,,Singapore,,,,,,Singapore,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",Pending,High,,,,(650) 450-8820,Energy,,,,3000.0,6.0,0054W00000AuCYfQAN,Public,,(650) 450-8810,,,,,,,,,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",4437.0,,,Platinum,2020-04-23,2457.0,UOS,,Customer - Direct,Maybe,http://www.uos.com,
0014W00002578rcQAA,"United Oil & Gas, UK",CD355119-A,,Yes,,,,,,,,UK,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",Pending,High,,,,+44 191 4956620,Energy,,,,24000.0,34.0,0054W00000AuCYfQAN,Public,,+44 191 4956203,,,,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",4437.0,,,Platinum,2019-10-22,3479.0,UOS,,Customer - Direct,No,http://www.uos.com,
0014W00002578rbQAA,University of Arizona,CD736025,,Yes,,Tucson,,,,,,AZ,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",Pending,Medium,,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",,(520) 773-9060,Education,,,,39000.0,3.0,0054W00000AuCYfQAN,Other,,(520) 773-9050,Warm,,,,,,,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",7321.0,,,Gold,2019-10-22,8350.0,,,Customer - Direct,Yes,www.universityofarizona.com,
