col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45
14039,31-May-12,31-May-13,52_weeks,Target,EI698,31-May-13,2013,5,22,31,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,10,9,5,9,3,3,7,6,8,4,1,6,0,10,3,8,7
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,31-May-12,2012,5,22,31,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,6,10,6,4,2,1,0,8,5,0,10,3,8,2,0,6,5
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,30-May-12,2012,5,22,30,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,5,9,8,2,3,10,9,0,9,2,1,10,3,4,6,6,4
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,29-May-12,2012,5,22,29,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,3,4,6,3,2,6,3,2,8,6,9,3,1,6,7,8,6
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,28-May-12,2012,5,22,28,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,6,3,9,1,9,5,2,3,9,4,6,4,6,9,3,9,7
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,27-May-12,2012,5,22,27,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,3,6,1,3,7,2,1,9,7,4,2,0,6,8,3,5,4
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,26-May-12,2012,5,21,26,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,4,3,4,5,1,3,5,0,2,3,7,2,2,1,2,6,3
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,25-May-12,2012,5,21,25,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,6,6,3,3,3,0,10,10,1,5,6,1,9,5,5,0,8
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,11-May-12,2012,5,19,11,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,2,6,5,2,0,5,0,7,7,7,6,7,8,0,10,0,0
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,04-May-12,2012,5,18,4,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,3,3,0,3,5,3,0,5,2,0,1,0,3,8,3,10,7
