col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
11900124,1610612758,SAC,Sacramento,203145,Kent Bazemore,F,,21:26,3.0,6.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,7.0,-2.0
11900124,1610612758,SAC,Sacramento,202357,Nemanja Bjelica,F,,26:42,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,3.0,-6.0
11900124,1610612758,SAC,Sacramento,1626158,Richaun Holmes,C,,18:13,0.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,3.0,4.0,6.0,-20.0
11900124,1610612758,SAC,Sacramento,203992,Bogdan Bogdanovic,G,,33:44,7.0,15.0,0.467,4.0,10.0,0.4,3.0,3.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,21.0,-5.0
11900124,1610612758,SAC,Sacramento,1628368,De'Aaron Fox,G,,27:57,3.0,10.0,0.3,0.0,3.0,0.0,6.0,10.0,0.6,0.0,4.0,4.0,6.0,0.0,0.0,2.0,2.0,12.0,-14.0
11900124,1610612758,SAC,Sacramento,203084,Harrison Barnes,,,21:30,2.0,8.0,0.25,2.0,5.0,0.4,6.0,6.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,12.0,-4.0
11900124,1610612758,SAC,Sacramento,1627741,Buddy Hield,,,27:16,7.0,16.0,0.438,3.0,10.0,0.3,0.0,0.0,0.0,3.0,5.0,8.0,4.0,0.0,0.0,0.0,3.0,17.0,13.0
11900124,1610612758,SAC,Sacramento,1628385,Harry Giles III,,,18:26,5.0,9.0,0.556,1.0,2.0,0.5,1.0,1.0,1.0,1.0,8.0,9.0,1.0,0.0,0.0,2.0,6.0,12.0,18.0
11900124,1610612758,SAC,Sacramento,202709,Cory Joseph,,,20:39,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,2.0,5.0,16.0
11900124,1610612758,SAC,Sacramento,1629610,DaQuan Jeffries,,,24:07,4.0,6.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,24.0
11900124,1610612758,SAC,Sacramento,1628963,Marvin Bagley III,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11900124,1610612758,SAC,Sacramento,201147,Corey Brewer,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11900124,1610612758,SAC,Sacramento,1627812,Yogi Ferrell,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11900124,1610612758,SAC,Sacramento,1629657,Kyle Guy,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11900124,1610612758,SAC,Sacramento,1629713,Justin James,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11900124,1610612758,SAC,Sacramento,203458,Alex Len,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11900124,1610612758,SAC,Sacramento,203953,Jabari Parker,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11900124,1610612746,LAC,LA,202695,Kawhi Leonard,F,,30:26,6.0,22.0,0.273,3.0,13.0,0.231,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,17.0,15.0
11900124,1610612746,LAC,LA,202694,Marcus Morris Sr.,F,,24:22,6.0,10.0,0.6,3.0,5.0,0.6,3.0,3.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,18.0,21.0
11900124,1610612746,LAC,LA,1627826,Ivica Zubac,C,,13:11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,4.0,2.0,7.0
11900124,1610612746,LAC,LA,202331,Paul George,G,,28:09,5.0,10.0,0.5,4.0,7.0,0.571,5.0,5.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,2.0,2.0,19.0,14.0
11900124,1610612746,LAC,LA,202704,Reggie Jackson,G,,25:02,3.0,10.0,0.3,2.0,8.0,0.25,3.0,4.0,0.75,1.0,3.0,4.0,5.0,1.0,0.0,1.0,3.0,11.0,20.0
11900124,1610612746,LAC,LA,201149,Joakim Noah,,,19:37,3.0,5.0,0.6,0.0,0.0,0.0,2.0,3.0,0.667,1.0,5.0,6.0,1.0,0.0,0.0,3.0,3.0,8.0,-7.0
11900124,1610612746,LAC,LA,203210,JaMychal Green,,,21:05,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,1.0,0.0,2.0,3.0,-15.0
11900124,1610612746,LAC,LA,203585,Rodney McGruder,,,17:19,1.0,6.0,0.167,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,-18.0
11900124,1610612746,LAC,LA,1629599,Amir Coffey,,,23:14,1.0,10.0,0.1,0.0,5.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,-25.0
