col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
1,Aguascalientes,2.84,2.385,1.93,1.755,1.58,1.64,1.7,290584.0,307612.5,324641.0,324652.0,324663.0,333006.5,341350.0,8255.0,7260.0,6265.0,5695.0,5125.0,5468.5,5812.0
2,Baja California,0.32,0.16,0.0,0.3,0.6,0.815,1.03,880956.0,917241.0,953526.0,977367.5,1001209.0,1025248.5,1049288.0,2846.0,1423.0,0.0,3028.5,6057.0,8419.0,10781.0
3,Baja California Sur,0.61,1.1349999999999998,1.66,1.1749999999999998,0.69,1.085,1.48,179007.0,191455.5,203904.0,208093.0,212282.0,224367.5,236453.0,1085.0,2237.5,3390.0,2432.5,1475.0,2489.0,3503.0
4,Campeche,0.32,0.16,0.0,0.275,0.55,0.94,1.33,222752.0,231509.5,240267.0,237662.0,235057.0,243699.5,252342.0,706.0,353.0,0.0,643.5,1287.0,2326.0,3365.0
5,Chiapas,0.42,0.4499999999999999,0.48,0.52,0.56,0.525,0.49,1133510.0,1172079.0,1210648.0,1199746.0,1188844.0,1249926.0,1311008.0,4814.0,5294.5,5775.0,6200.5,6626.0,6542.5,6459.0
6,Chihuahua,0.53,0.385,0.24,0.235,0.23,0.455,0.68,1021353.0,1051395.5,1081438.0,1060640.5,1039843.0,1062630.5,1085418.0,5456.0,4050.0,2644.0,2518.5,2393.0,4863.5,7334.0
7,Ciudad De Mexico,1.68,1.91,2.14,2.5250000000000004,2.91,3.1100000000000003,3.31,2583772.0,2581706.5,2579641.0,2576956.0,2574271.0,2654214.5,2734158.0,43525.0,49382.0,55239.0,65084.0,74929.0,82698.0,90467.0
8,Coahuila,0.47,2.01,3.55,3.2,2.85,1.99,1.13,734520.0,779925.5,825331.0,805918.5,786506.0,806079.5,825653.0,3488.0,16403.5,29319.0,25884.0,22449.0,15869.5,9290.0
9,Colima,4.03,2.21,0.39,0.905,1.42,1.4,1.38,186879.0,188088.0,189297.0,195511.0,201725.0,208651.0,215577.0,7531.0,4133.5,736.0,1800.5,2865.0,2921.5,2978.0
10,Durango,0.35,0.8749999999999999,1.4,1.145,0.89,0.985,1.08,415411.0,433705.0,451999.0,457293.0,462587.0,472063.0,481539.0,1449.0,3883.5,6318.0,5219.0,4120.0,4669.0,5218.0
11,Guanajuato,0.32,0.555,0.79,0.5700000000000001,0.35,0.515,0.68,1378150.0,1382235.5,1386321.0,1419827.5,1453334.0,1475975.5,1498617.0,4457.0,7698.5,10940.0,8036.0,5132.0,7664.5,10197.0
12,Guerrero,0.0,1.03,2.06,1.155,0.25,0.405,0.56,843882.0,879148.5,914415.0,891034.5,867654.0,930760.5,993867.0,0.0,9415.5,18831.0,10489.5,2148.0,3869.0,5590.0
13,Hidalgo,0.17,0.7050000000000001,1.24,0.965,0.69,0.58,0.47,621960.0,675203.0,728446.0,751862.5,775279.0,772885.5,770492.0,1072.0,5063.0,9054.0,7215.0,5376.0,4486.0,3596.0
14,Jalisco,1.76,1.18,0.6,1.605,2.61,2.875,3.14,1928198.0,1904801.0,1881404.0,1944724.0,2008044.0,2077122.5,2146201.0,33934.0,22620.5,11307.0,31828.0,52349.0,59865.0,67381.0
15,Mexico,0.43,0.35,0.27,0.515,0.76,0.975,1.19,1130571.0,1114043.5,1097516.0,1131110.0,1164704.0,1212551.0,1260398.0,4819.0,3883.0,2947.0,5892.5,8838.0,11947.5,15057.0
16,Michoacan,0.65,0.815,0.98,1.41,1.84,1.71,1.58,485668.0,515816.0,545964.0,542871.5,539779.0,549150.0,558521.0,3134.0,4255.0,5376.0,7643.0,9910.0,9372.5,8835.0
17,Morelos,0.45,0.49,0.53,0.33,0.13,0.4,0.67,3788645.0,4078982.0,4369319.0,4279994.5,4190670.0,4307554.0,4424438.0,16945.0,20083.0,23221.0,14336.5,5452.0,17472.5,29493.0
18,Nayarit,2.45,1.91,1.37,1.89,2.41,2.035,1.66,289880.0,302125.0,314370.0,325717.5,337065.0,345012.5,352960.0,7088.0,5696.0,4304.0,6217.0,8130.0,6988.0,5846.0
19,Nuevo Leon,3.4,2.96,2.52,2.28,2.04,1.935,1.83,1267989.0,1327057.5,1386126.0,1377526.5,1368927.0,1387229.5,1405532.0,43125.0,39057.5,34990.0,31484.5,27979.0,26815.0,25651.0
20,Oaxaca,0.08,0.265,0.45,0.99,1.53,0.86,0.19,964876.0,1011291.5,1057707.0,1016937.0,976167.0,1030688.5,1085210.0,806.0,2787.0,4768.0,9832.5,14897.0,8455.5,2014.0
21,Puebla,1.05,1.365,1.68,2.055,2.43,1.605,0.78,1392522.0,1471721.0,1550920.0,1539354.0,1527788.0,1590376.5,1652965.0,14624.0,20356.0,26088.0,31614.5,37141.0,25000.5,12860.0
22,Queretaro,0.56,1.445,2.33,1.51,0.69,0.705,0.72,475520.0,523916.0,572312.0,544065.5,515819.0,533298.5,550778.0,2669.0,7990.5,13312.0,8427.0,3542.0,3748.0,3954.0
23,Quintana Roo,0.3,0.35,0.4,0.445,0.49,0.94,1.39,387913.0,396229.0,404545.0,410752.5,416960.0,450382.5,483805.0,1168.0,1396.5,1625.0,1838.0,2051.0,4383.5,6716.0
24,San Luis Potosi,0.88,0.915,0.95,1.56,2.17,1.64,1.11,649882.0,695687.5,741493.0,721651.0,701809.0,727373.5,752938.0,5736.0,6398.0,7060.0,11142.5,15225.0,11792.5,8360.0
25,Sinaloa,1.21,1.415,1.62,0.81,0.0,0.38,0.76,764369.0,771970.5,779572.0,798720.0,817868.0,816760.0,815652.0,9245.0,10929.0,12613.0,6306.5,0.0,3101.5,6203.0
26,Sonora,2.27,4.305,6.34,4.145,1.95,1.85,1.75,712701.0,767325.0,821949.0,824145.0,826341.0,842293.0,858245.0,16145.0,34118.5,52092.0,34103.0,16114.0,15572.0,15030.0
27,Tabasco,1.05,1.175,1.3,0.8300000000000001,0.36,0.6950000000000001,1.03,583448.0,605088.0,626728.0,626617.5,626507.0,635435.5,644364.0,6138.0,7147.0,8156.0,5210.0,2264.0,4447.0,6630.0
28,Tamaulipas,0.51,0.5,0.49,0.5549999999999999,0.62,0.72,0.82,960248.0,978256.5,996265.0,993414.0,990563.0,1018537.5,1046512.0,4901.0,4893.5,4886.0,5524.5,6163.0,7365.5,8568.0
29,Tlaxcala,1.14,0.6749999999999999,0.21,0.905,1.6,1.195,0.79,288960.0,295789.0,302618.0,302934.5,303251.0,311725.0,320199.0,3297.0,1962.5,628.0,2735.0,4842.0,3690.0,2538.0
30,Veracruz,0.79,1.04,1.29,1.055,0.82,0.635,0.45,2061713.0,2086936.5,2112160.0,2167506.5,2222853.0,2261120.5,2299388.0,16329.0,21795.5,27262.0,22758.0,18254.0,14247.0,10240.0
31,Yucatan,1.26,1.315,1.37,2.085,2.8,2.08,1.36,517066.0,505304.0,493542.0,521999.0,550456.0,566708.5,582961.0,6510.0,6631.5,6753.0,11091.5,15430.0,11667.0,7904.0
32,Zacatecas,0.13,0.955,1.78,1.57,1.36,1.04,0.72,413867.0,414431.0,414995.0,438586.0,462177.0,443973.0,425769.0,540.0,3959.5,7379.0,6828.0,6277.0,4667.0,3057.0
