col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
10041100,"Saarbrücken, Landeshauptstadt",10,Saarland,178151,87985,90166,16492,11783,4709,26195,18659,7536,9.3,6.6,2.6,14.7,10.5,4.2
10041511,"Friedrichsthal, Stadt",10,Saarland,10280,5023,5257,1067,751,316,713,515,198,10.4,7.3,3.1,6.9,5.0,1.9
10041512,Großrosseln,10,Saarland,8048,3930,4118,765,571,194,480,378,102,9.5,7.1,2.4,6.0,4.7,1.3
10041513,Heusweiler,10,Saarland,18081,8698,9383,1801,1293,508,1355,961,394,10.0,7.2,2.8,7.5,5.3,2.2
10041514,Kleinblittersdorf,10,Saarland,11078,5356,5722,1051,753,298,1106,777,329,9.5,6.8,2.7,10.0,7.0,3.0
10041515,"Püttlingen, Stadt",10,Saarland,18748,9050,9698,1693,1181,512,1334,944,390,9.0,6.3,2.7,7.1,5.0,2.1
10041516,Quierschied,10,Saarland,13039,6328,6711,1327,945,382,710,519,191,10.2,7.2,2.9,5.4,4.0,1.5
10041517,Riegelsberg,10,Saarland,14611,7056,7555,1343,951,392,811,576,235,9.2,6.5,2.7,5.6,3.9,1.6
10041518,"Sulzbach/ Saar, Stadt",10,Saarland,16215,7904,8311,1624,1150,474,1173,837,336,10.0,7.1,2.9,7.2,5.2,2.1
10041519,"Völklingen, Stadt",10,Saarland,39129,19031,20098,3658,2703,955,3038,2207,831,9.3,6.9,2.4,7.8,5.6,2.1
10042111,Beckingen,10,Saarland,15145,7444,7701,1404,1004,400,974,686,288,9.3,6.6,2.6,6.4,4.5,1.9
10042112,Losheim am See,10,Saarland,15995,7994,8001,1681,1205,476,1528,1117,411,10.5,7.5,3.0,9.6,7.0,2.6
10042113,"Merzig, Kreisstadt",10,Saarland,29937,14874,15063,2638,1884,754,2632,1910,722,8.8,6.3,2.5,8.8,6.4,2.4
10042114,Mettlach,10,Saarland,12251,5956,6295,1026,764,262,1010,765,245,8.4,6.2,2.1,8.2,6.2,2.0
10042115,Perl,10,Saarland,8351,4171,4180,466,382,84,524,404,120,5.6,4.6,1.0,6.3,4.8,1.4
10042116,"Wadern, Stadt",10,Saarland,15809,7839,7970,1561,1089,472,1433,899,534,9.9,6.9,3.0,9.1,5.7,3.4
10042117,Weiskirchen,10,Saarland,6509,3253,3256,662,490,172,723,525,198,10.2,7.5,2.6,11.1,8.1,3.0
10043111,Eppelborn,10,Saarland,17250,8522,8728,1795,1299,496,1250,946,304,10.4,7.5,2.9,7.2,5.5,1.8
10043112,Illingen,10,Saarland,16486,7980,8506,1645,1197,448,1486,1084,402,10.0,7.3,2.7,9.0,6.6,2.4
