col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
1,80,72876,55,58,78,96,41,93,2010-12-20 21:39:49,2007-01-13 11:07:41,无,78,71560,82,72876,无,90139,2000-04-28 03:34:41,2000-04-28 03:34:41,2000-04-28 03:34:41,
2,50,47708,10,2,99,33,93,63,2003-12-14 23:39:47,2014-04-30 23:33:51,无,99,79590,64,47708,无,71560,2006-03-22 04:03:32,2006-03-22 04:03:32,2006-03-22 04:03:32,
3,86,73712,49,70,2,49,63,36,2019-05-09 18:48:50,2006-03-22 04:03:32,无,2,39272,11,73712,无,79590,2013-04-28 10:36:17,2013-04-28 10:36:17,2013-04-28 10:36:17,
4,68,81728,32,87,54,82,36,78,2008-05-17 15:18:45,2013-04-28 10:36:17,无,54,93063,2,81728,无,39272,2008-02-21 01:57:24,2008-02-21 01:57:24,2008-02-21 01:57:24,
5,19,90139,59,14,43,64,78,67,2015-01-30 11:22:42,2008-02-21 01:57:24,无,43,61030,3,90139,无,93063,2007-01-13 11:07:41,2007-01-13 11:07:41,2007-01-13 11:07:41,
6,96,71560,34,8,82,2,67,96,2004-12-02 22:31:22,2016-07-17 22:56:39,无,82,26805,88,71560,无,61030,2014-04-30 23:33:51,2014-04-30 23:33:51,2014-04-30 23:33:51,
7,64,79590,56,92,12,40,96,33,2019-09-08 21:12:33,2004-09-02 20:37:42,无,12,52955,55,79590,无,26805,2006-03-22 04:03:32,2006-03-22 04:03:32,2006-03-22 04:03:32,
8,40,39272,61,11,41,21,33,49,2004-03-04 21:26:25,2006-06-07 03:43:36,无,41,40314,10,39272,无,52955,2013-04-28 10:36:17,2013-04-28 10:36:17,2013-04-28 10:36:17,
9,96,93063,42,2,93,55,49,82,2014-01-31 18:25:45,2019-05-11 00:36:32,无,93,53702,49,93063,无,40314,2008-02-21 01:57:24,2008-02-21 01:57:24,2008-02-21 01:57:24,
10,76,61030,59,3,63,35,82,64,2014-03-28 08:05:20,2018-05-02 13:52:36,无,63,22332,32,61030,无,53702,2016-07-17 22:56:39,2016-07-17 22:56:39,2016-07-17 22:56:39,
11,99,26805,55,88,36,92,64,2,2010-04-15 05:14:10,2013-12-08 02:40:15,无,36,30699,59,26805,无,22332,2004-09-02 20:37:42,2004-09-02 20:37:42,2004-09-02 20:37:42,
12,45,52955,32,55,78,31,2,40,2011-12-29 01:08:34,2007-11-21 18:14:13,无,78,52612,78,52955,无,30699,2006-06-07 03:43:36,2006-06-07 03:43:36,2006-06-07 03:43:36,
13,38,40314,39,10,67,79,40,21,2014-12-09 19:37:26,2000-07-12 00:00:43,无,67,87170,67,40314,无,52612,2019-05-11 00:36:32,2019-05-11 00:36:32,2019-05-11 00:36:32,
14,4,53702,28,49,96,56,96,55,2013-01-06 18:34:39,2014-02-10 18:40:33,无,96,93833,96,53702,无,87170,2018-05-02 13:52:36,2018-05-02 13:52:36,2018-05-02 13:52:36,
15,98,22332,72,32,33,91,33,35,2004-10-12 23:44:25,2017-12-15 19:34:12,无,33,54399,33,22332,无,93833,2013-12-08 02:40:15,2013-12-08 02:40:15,2013-12-08 02:40:15,
16,71,30699,46,59,49,69,49,92,2012-12-10 03:09:20,2001-10-27 02:37:46,无,49,54874,49,30699,无,54399,2007-11-21 18:14:13,2007-11-21 18:14:13,2007-11-21 18:14:13,
17,62,52612,70,34,82,8,82,31,2008-06-24 16:43:41,2010-07-22 12:15:44,无,82,52612,82,52612,无,54874,2000-07-12 00:00:43,2000-07-12 00:00:43,2000-07-12 00:00:43,
18,43,87170,78,56,64,92,64,79,2008-10-22 03:33:41,2002-02-28 08:33:49,无,64,87170,64,87170,无,25670,2014-02-10 18:40:33,2014-02-10 18:40:33,2014-02-10 18:40:33,
19,82,93833,4,61,2,11,2,56,2003-08-20 18:15:32,2000-04-28 03:34:41,无,2,93833,78,93833,无,65066,2017-12-15 19:34:12,2017-12-15 19:34:12,2017-12-15 19:34:12,
20,2,54399,57,42,40,2,40,2,2007-03-15 21:04:42,2014-04-22 20:52:43,无,40,54399,99,54399,无,96400,2001-10-27 02:37:46,2001-10-27 02:37:46,2001-10-27 02:37:46,
21,93,54874,47,59,21,3,21,40,2002-08-14 09:21:23,2009-05-04 18:36:52,无,21,54874,2,54874,无,84609,2010-07-22 12:15:44,2010-07-22 12:15:44,2010-07-22 12:15:44,
22,26,25670,74,55,55,88,55,21,2011-03-08 22:37:53,2008-02-07 01:46:50,无,55,25670,54,25670,无,92630,2002-02-28 08:33:49,2002-02-28 08:33:49,2002-02-28 08:33:49,
23,39,65066,13,32,35,55,35,55,2017-09-17 19:43:05,2017-09-17 19:43:05,无,35,65066,43,65066,无,53944,2000-04-28 03:34:41,2000-04-28 03:34:41,2000-04-28 03:34:41,
24,55,96400,80,39,92,10,92,35,2006-03-22 05:18:57,2006-03-22 05:18:57,无,92,96400,82,96400,无,90139,2014-04-22 20:52:43,2014-04-22 20:52:43,2014-04-22 20:52:43,
25,78,84609,41,28,31,49,31,92,2018-02-19 18:12:01,2018-02-19 18:12:01,无,31,84609,12,84609,无,71560,2009-05-04 18:36:52,2009-05-04 18:36:52,2009-05-04 18:36:52,
26,2,92630,6,72,79,82,79,31,2012-04-20 08:46:29,2012-04-20 08:46:29,无,79,92630,41,92630,无,79590,2008-02-07 01:46:50,2008-02-07 01:46:50,2008-02-07 01:46:50,
27,55,53944,98,46,56,64,56,79,2007-05-02 14:42:38,2007-05-02 14:42:38,无,56,53944,93,53944,无,39272,2017-09-17 19:43:05,2017-09-17 19:43:05,2017-09-17 19:43:05,
28,30,53974,92,70,91,2,91,56,2015-05-15 07:51:12,2015-05-15 07:51:12,无,91,53974,63,53974,无,93063,2006-03-22 05:18:57,2006-03-22 05:18:57,2006-03-22 05:18:57,
29,8,75576,27,78,69,40,69,91,2007-01-13 11:07:41,2007-01-13 11:07:41,无,69,75576,36,75576,无,61030,2018-02-19 18:12:01,2018-02-19 18:12:01,2018-02-19 18:12:01,
30,41,94009,13,4,58,21,58,69,2014-04-30 23:33:51,2014-04-30 23:33:51,无,58,94009,78,94009,无,26805,2012-04-20 08:46:29,2012-04-20 08:46:29,2012-04-20 08:46:29,
31,92,94637,90,57,2,55,2,58,2006-03-22 04:03:32,2006-03-22 04:03:32,无,2,94637,67,94637,无,52955,2007-05-02 14:42:38,2007-05-02 14:42:38,2007-05-02 14:42:38,
32,18,30017,39,47,70,35,70,2,2013-04-28 10:36:17,2013-04-28 10:36:17,无,70,30017,96,30017,无,40314,2015-05-15 07:51:12,2015-05-15 07:51:12,2015-05-15 07:51:12,
33,51,81670,47,74,87,92,87,70,2008-02-21 01:57:24,2008-02-21 01:57:24,无,87,81670,33,81670,无,53702,2007-01-13 11:07:41,2007-01-13 11:07:41,2007-01-13 11:07:41,
34,50,48212,24,13,14,31,14,87,2016-07-17 22:56:39,2016-07-17 22:56:39,无,14,48212,49,48212,无,22332,2014-04-30 23:33:51,2014-04-30 23:33:51,2014-04-30 23:33:51,
35,84,34945,82,80,8,79,8,14,2004-09-02 20:37:42,2004-09-02 20:37:42,无,8,34945,82,34945,无,30699,2006-03-22 04:03:32,2006-03-22 04:03:32,2006-03-22 04:03:32,
