col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
MUTANT,1|2268ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,4|2274ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,2|2590ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,3|2664ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,6|2416ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,5|2461ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,8|2374ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,7|2550ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,9|2529ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,10|2712ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,11|2419ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,12|2615ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,13|2334ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,15|2510ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,14|2554ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,16|2562ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,17|2633ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,18|2445ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,19|2506ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,20|2551ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,21|2799ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,22|2814ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,23|2757ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,24|2933ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,25|2523ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,27|2473ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,26|2506ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,28|2959ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
