col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
1,0,K. Raasck,Nonsurgical management of an extensive spontaneous spinal epidural hematoma causing quadriplegia and respiratory distress in a choledocholithiasis patient,2017,Medicine (United States),,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85039735747&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85039735747&origin=inward,12,2021-01-12 11:40:54,Article,10.1097/MD.0000000000009368,0025-7974,https://api.elsevier.com/content/abstract/scopus_id/85039735747,96,51,,,0,0.0,0,1,4,,warfarin
2,1,G. Goyal,"Anticoagulant induced spontaneous spinal epidural hematoma, conservative management or surgical intervention—A dilemma?",2016,Journal of Acute Medicine,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84977611156&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84977611156&origin=inward,10,2021-01-12 11:40:54,Article,10.1016/j.jacme.2016.03.006,2211-5587,https://api.elsevier.com/content/abstract/scopus_id/84977611156,6,2,38.0,42.0,1,0.2,1,1,5,,warfarin
3,1,G. Zuliani,Spinal anterior epidural hematoma in an elderly man with unrecognized lupic anticoagulant taking warfarin,2011,Aging Clinical and Experimental Research,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84865281757&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84865281757&origin=inward,11,2021-01-12 11:40:54,Article,10.1007/BF03325248,1594-0667,https://api.elsevier.com/content/abstract/scopus_id/84865281757,23,5,498.0,500.0,1,0.1,1,1,10,,warfarin
4,7,K. Pearson-Fuhrhop,Pharmacogenetics of neural injury recovery,2013,Pharmacogenomics,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885401182&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885401182&origin=inward,8,2021-01-12 11:40:54,Review,10.2217/pgs.13.152,1462-2416,https://api.elsevier.com/content/abstract/scopus_id/84885401182,14,13,1635.0,1643.0,7,0.88,7,1,8,,warfarin
5,7,M.Y.L. Chan,Subdural spinal haematoma after epidural anaesthesia in a patient with spinal canal stenosis,2006,Anaesthesia and Intensive Care,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33645755671&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645755671&origin=inward,9,2021-01-12 11:40:54,Article,10.1177/0310057x0603400214,0310-057X,https://api.elsevier.com/content/abstract/scopus_id/33645755671,34,2,269.0,276.0,7,0.47,7,1,15,,warfarin
6,8,K. Williams,Subacute subdural hematoma in a 45-year-old woman with no significant past medical history after a roller coaster ride,2009,American Journal of Emergency Medicine,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=65449135916&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65449135916&origin=inward,7,2021-01-12 11:40:54,Article,10.1016/j.ajem.2008.08.005,0735-6757,https://api.elsevier.com/content/abstract/scopus_id/65449135916,27,4,,,8,0.67,8,1,12,,warfarin
7,11,S. Richard,Unilateral posterior cervical spinal cord infarction due to spontaneous vertebral artery dissection,2014,Journal of Spinal Cord Medicine,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895515323&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84895515323&origin=inward,6,2021-01-12 11:40:54,Article,10.1179/2045772313Y.0000000125,1079-0268,https://api.elsevier.com/content/abstract/scopus_id/84895515323,37,2,233.0,236.0,11,1.57,11,1,7,,warfarin
8,13,B. Rengarajan,Acute asymmetrical spinal infarct secondary to fibrocartilaginous embolism,2015,Child's Nervous System,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84925499804&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925499804&origin=inward,4,2021-01-12 11:40:54,Article,10.1007/s00381-014-2562-9,0256-7040,https://api.elsevier.com/content/abstract/scopus_id/84925499804,31,3,487.0,491.0,13,2.17,13,1,6,,warfarin
9,13,C. Phadke,Soleus H-reflex modulation after motor incomplete spinal cord injury: Effects of body position and walking speed,2010,Journal of Spinal Cord Medicine,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78449301428&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78449301428&origin=inward,5,2021-01-12 11:40:54,Article,10.1080/10790268.2010.11689715,1079-0268,https://api.elsevier.com/content/abstract/scopus_id/78449301428,33,4,371.0,378.0,13,1.18,13,1,11,,warfarin
10,16,D. Binder,Spinal Epidural Hematoma,2004,Neurosurgery Quarterly,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=1542379836&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1542379836&origin=inward,3,2021-01-12 11:40:54,Article,10.1097/00013414-200403000-00009,1050-6438,https://api.elsevier.com/content/abstract/scopus_id/1542379836,14,1,51.0,59.0,16,0.94,16,1,17,,warfarin
