col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
player,is,between,10,and,20,and,server_id,of,the,payment,is,equal,to,'1',and,currency_id,of,the,payment_rc,of,a,payment,exists,in,"('Shekel',",'Euro');id\tPARAM\tVALUE@1777815686\toutput\t10;1
player,exists,in,"(10,",5),and,server_id,of,the,payment,contains,'1',and,currency_id,of,the,payment_rc,is,like,'Shekel';id\tPARAM\tVALUE@1777815686\toutput\t10;1,,,,,,,
player,is,equal,to,10,and,server_id,of,the,payment,is,not,between,'2',and,'3',and,currency_id,of,the,payment_rc,is,like,'Shekel';id\tPARAM\tVALUE@1777815686\toutput\t10;1,,,
player,is,equal,to,10,and,server_id,of,the,payment,is,not,between,'2',and,'3',and,currency_id,of,the,payment_rc,of,a,payment,is,like,'Shekel';id\tPARAM\tVALUE@1777815686\toutput\t10;1
payment_rc,is,like,'Shekel',and,server_id,of,the,payment,is,not,between,'2',and,'3',and,current_level,of,the,player,is,equal,to,10;id\tPARAM\tVALUE@1777815686\toutput\t10;1,,,
player,is,not,equal,to,10,and,server_id,of,the,payment,starts,with,'0';id\tPARAM\tVALUE;0,,,,,,,,,,,,,
player,exists,in,"(3,",1),and,country_vl,of,the,player,is,equal,to,'Italy',and,reporting_amount,of,the,payment_rc,is,greater,than,0;id\tPARAM\tVALUE@454401469\toutput\t1;1,,,,
player,exists,in,"(3,",1),and,country_vl,of,the,player,contains,'Italy',and,reporting_amount,of,the,payment_rc,is,greater,than,0;id\tPARAM\tVALUE@454401469\toutput\t1;1,,,,,,
player,exists,in,"(3,",1),and,country_vl,of,the,player,contains,'Italy',and,reporting_amount,of,the,payment_rc,of,a,payment,is,greater,than,0;id\tPARAM\tVALUE@454401469\toutput\t1;1,,,
player,contains,'A',and,server_id,of,the,session,=,'1';id\tPARAM\tVALUE@100658735\toutput\t18@700637089\toutput\t7;2,,,,,,,,,,,,,,,,,
payment,is,equal,to,'1',and,currency_id,of,the,payment_rc,exists,in,"('Shekel',",'Euro');id\tPARAM\tVALUE@1777815686\toutput\t10;3,,,,,,,,,,,,,
session,is,equal,to,'1',and,currency_id,of,the,payment_rc,exists,in,"('Shekel',",'Euro');id\tPARAM\tVALUE@1777815686\toutput\t10;3,,,,,,,,,,,,,
player,is,less,than,2,and,server_id,of,the,payment,exists,in,"('1',",'2');id\tPARAM\tVALUE@454401469\toutput\t1;1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
'30-09-2005';id\tPARAM\tVALUE@1457543380\toutput\t9@201688701\toutput\t12;2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hour,=,'05/09/2011T17:44:05';id\tPARAM\tVALUE@454401469\toutput\t1;1,,,,,,,,,,,,,,,,,,,,,,,
"player,6)",=,(power(current_level,of,the,"player,2)",*,power(current_level,of,the,"player,4))",and,current_level,of,the,player,-,2,>,15;id\tPARAM\tVALUE@100658735\toutput\t18@603584822\toutput\t19;2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
or,player.registration_time,,>=,'11:42:51';id\tPARAM\tVALUE@1457543380\toutput\t9@1777815686\toutput\t10@733301192\toutput\t1;3,,,,,,,,,,,,,,,,,,,,,,
to,'20/10/2004',and,player.birthdate,!=,'02-11-1985';id\tPARAM\tVALUE@1457543380\toutput\t9;1,,,,,,,,,,,,,,,,,,,,,
to,true,and,player.country_id,,is,like,'I%';id\tPARAM\tVALUE@454401469\toutput\t1;1,,,,,,,,,,,,,,,,,,,
whale,=,player,is,not,payment_status,and,player.current_level,>,17;id\tPARAM\tVALUE@100658735\toutput\t18@603584822\toutput\t19;2;,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
payment_status,=,false;id\tPARAM\tVALUE@1777815686\toutput\t10@454401469\toutput\t1@657481547\toutput\t8;3;,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
exist,in,(player.payment.payment_rc.amount);id\tPARAM\tVALUE@1777815686\toutput\t10@657481547\toutput\t8;2;,,,,,,,,,,,,,,,,,,,,,,,,
(player.payment.payment_rc.amount),and,10,exists,in,(player.payment.payment_rc.amount);id\tPARAM\tVALUE@454401469\toutput\t1;1;,,,,,,,,,,,,,,,,,,,,,
of,all,sessions,of,a,player,filter,by,start_time,exists,in,(,registration_date,of,the,player,",",'11/02/2012'),is,greater,than,20,minutes;id\tPARAM\tVALUE@733301192\toutput\t1;1;,,,,
filter,by,last,player.session.end_time,between,'01/10/2013',to,today,>,1;id\tPARAM\tVALUE@100658735\toutput\t18@1680331554\toutput\t9;2,,,,,,,,,,,,,,,,,
distinct,of,player.payment.payment_rc.amount,where,player.payment.timestamp,is,after,'01-12-2012,00:01:01';id\tPARAM\tVALUE@657481547\toutput\t8;1,,,,,,,,,,,,,,,,,,
-,3,=,3;id\tPARAM\tVALUE@1440142277\toutput\t3;1;,,,,,,,,,,,,,,,,,,,,,,,
and,player.playing_day,<=,'Monday';id\tPARAM\tVALUE@1777815686\toutput\t10;1;,,,,,,,,,,,,,,,,,,,,,,,
end,with,'day';id\tPARAM\tVALUE;0;,,,,,,,,,,,,,,,,,,,,,,,,
