col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,AK,1126.2477,26.5249,6.9944,0.991724467,0.020967006,3.4969,0.056161753,0.102739062,1.1577,0.094749,0.115578,0.566188,0.0,0.000799,0.222597,9e-05,0.0,0.0
1,AL,1040.8062,18.8765,15.8401,0.916488419,0.019376368,0.7414,0.051901105,0.09494488,3.9527,0.568508,0.001453,0.100961,0.230797,0.02345,0.073873,0.0,9e-05,0.000869
2,AR,1112.5946,19.6426,17.3978,0.979702144,0.020712831,1.2432,0.055480924,0.101493592,2.5203,0.482004,0.004324,0.125703,0.286426,0.036295,0.064928,0.0,0.0,0.00032
3,AZ,1084.6279,15.4713,14.2607,0.955075891,0.020192183,1.1887,0.054086329,0.098942402,0.6502,0.395633,0.000426,0.284758,0.254346,0.000595,0.064107,0.0,0.000134,0.0
4,CA,556.4388,31.0357,4.4816,0.327758213,0.021565607,0.2002,0.024681806,0.034719441,0.1409,0.009833,0.012886,0.467057,0.180843,0.029082,0.198833,0.021305,0.068858,0.011304
5,CO,1736.7395,21.724,25.0503,1.529296845,0.032332344,2.5318,0.086604692,0.158429612,1.9039,0.716675,0.000343,0.240594,0.0,0.000692,0.026056,0.01564,0.0,0.0
6,CT,576.7997,61.9524,10.521,0.507904589,0.010738102,0.3647,0.02876284,0.052617075,0.376,0.119121,0.094071,0.264242,0.463852,0.021191,0.014204,0.0,0.000309,0.02301
7,DC,2484.6913,106.6592,21.3379,2.187910487,0.046256732,4.5892,0.123902245,0.226659599,18.5649,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DE,1795.3275,26.249,23.3094,1.580886875,0.033423059,2.0472,0.089526256,0.163774152,7.18,0.593979,0.149501,0.195508,0.0,0.0,0.0,0.0,0.0,0.061013
9,FL,1192.1794,39.2102,13.986,1.049781038,0.022194437,1.0229,0.05944952,0.108753512,2.1939,0.284303,0.169257,0.380526,0.130814,0.019701,0.001211,0.0,0.007941,0.006249
10,GA,1285.9481,19.1469,20.5414,1.132349654,0.0239401,0.9533,0.064125413,0.117307321,4.302,0.638539,0.007365,0.071539,0.230822,0.023397,0.027963,0.0,0.0,0.000375
11,HI,1527.0773,93.698,19.7385,1.344677481,0.028429128,3.3118,0.076149623,0.139303715,4.9261,0.141567,0.787692,0.0,0.0,0.026132,0.008348,0.000576,0.019231,0.016454
12,IA,1625.2988,18.4992,26.7455,1.431167039,0.030257687,1.6229,0.081047561,0.14826372,3.7477,0.774852,0.003399,0.056396,0.103174,0.002637,0.021814,0.037446,0.0,0.000283
13,ID,119.6862,10.7115,2.0607,0.105390433,0.002228161,0.1115,0.005968302,0.010918067,0.1693,0.008793,0.0,0.143203,0.0,0.053306,0.789112,0.0,0.005586,0.0
14,IL,1067.8363,12.206,17.3764,0.940289942,0.019879579,0.7582,0.053248995,0.097410631,2.4757,0.475204,0.001679,0.036622,0.480348,0.003526,0.000665,0.000727,0.0,0.001229
15,IN,2033.6314,23.7593,33.7052,1.790726867,0.037859489,1.956,0.101409578,0.185512815,7.175,0.942483,0.002029,0.027603,0.0,0.00051,0.003364,0.0,0.003264,0.020747
16,KS,1673.8714,19.2931,26.7239,1.473937946,0.031161948,2.1099,0.083469695,0.152694631,2.2096,0.751825,0.021508,0.024801,0.192334,0.0,0.000247,0.009285,0.0,0.0
17,KY,2045.7462,23.6379,34.6185,1.80139463,0.038085027,1.744,0.102013698,0.186617957,5.569,0.910662,0.037626,0.01695,0.0,0.004318,0.030271,0.0,0.0,0.000174
18,LA,1128.269,22.5701,12.2386,0.993504335,0.021004636,1.2086,0.056262548,0.102923449,1.8945,0.248924,0.037612,0.472937,0.169144,0.028873,0.00875,0.0,0.00336,0.030399
19,MA,1113.803,73.7307,16.8138,0.980766208,0.020735327,0.8032,0.055541182,0.101603826,2.06,0.253366,0.149838,0.426922,0.115277,0.025277,0.011843,0.0,0.0,0.017478
