col0,col1,col2,col3
1,it is more risky (coronavirus | covid | pandemic),1,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/people-with-medical-conditions.html
1,it is more risky (coronavirus | covid | pandemic),2,https://www.cdc.gov/diabetes/managing/flu-sick-days.html
1,it is more risky (coronavirus | covid | pandemic),3,https://www.cdc.gov/heartdisease/index.htm
1,it is more risky (coronavirus | covid | pandemic),4,https://www.cdc.gov/healthyweight/assessing/bmi/index.html
1,it is more risky (coronavirus | covid | pandemic),5,https://www.cdc.gov/diabetes/managing/problems.html
1,it is more risky (coronavirus | covid | pandemic),6,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/people-at-increased-risk.html
1,it is more risky (coronavirus | covid | pandemic),7,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/other-at-risk-populations.html
1,it is more risky (coronavirus | covid | pandemic),8,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/older-adults.html
1,it is more risky (coronavirus | covid | pandemic),9,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/asthma.html
1,it is more risky (coronavirus | covid | pandemic),10,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/groups-at-higher-risk.html
2,it is more riskier (coronavirus | covid | pandemic),1,https://www.bbc.com/news/health-52849691
2,it is more riskier (coronavirus | covid | pandemic),2,https://www.businessinsider.com/riskiest-to-least-risky-activities-during-coronavirus-pandemic-ranked-2020-5
2,it is more riskier (coronavirus | covid | pandemic),3,https://www.businessinsider.com/coronavirus-risk-by-activity-restaurant-hotel-gym-salon-date-2020-6
2,it is more riskier (coronavirus | covid | pandemic),4,https://theconversation.com/americans-disagree-on-how-risky-the-coronavirus-is-but-most-are-changing-their-behavior-anyway-133991
2,it is more riskier (coronavirus | covid | pandemic),5,https://www.nytimes.com/2020/06/24/health/coronavirus-dexamethasone.html
2,it is more riskier (coronavirus | covid | pandemic),6,https://www.politico.com/interactives/2020/coronavirus-activity-risk-what-is-safe-poll/
2,it is more riskier (coronavirus | covid | pandemic),7,https://www.ft.com/content/a4efe8c5-afe8-494d-86fc-4333e78b9a7e
2,it is more riskier (coronavirus | covid | pandemic),8,https://www.washingtonpost.com/outlook/2020/06/10/coronavirus-risk-testing-data/
2,it is more riskier (coronavirus | covid | pandemic),9,https://blogs.scientificamerican.com/observations/online-covid-19-dashboard-calculates-how-risky-reopenings-and-gatherings-can-be/
2,it is more riskier (coronavirus | covid | pandemic),10,https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/activities.html
3,it is more safe (coronavirus | covid | pandemic),1,https://www.bbc.com/news/science-environment-52804795
3,it is more safe (coronavirus | covid | pandemic),2,https://www.vox.com/21262268/coronavirus-tips-covid-social-distancing-harm-reduction
3,it is more safe (coronavirus | covid | pandemic),3,https://www.theatlantic.com/ideas/archive/2020/05/how-will-we-ever-be-safe-inside/611953/
3,it is more safe (coronavirus | covid | pandemic),4,https://theconversation.com/how-to-protest-during-a-pandemic-and-still-keep-everyone-safe-from-coronavirus-139978
3,it is more safe (coronavirus | covid | pandemic),5,https://www.osha.gov/Publications/OSHA3990.pdf
3,it is more safe (coronavirus | covid | pandemic),6,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/technical-guidance-publications
3,it is more safe (coronavirus | covid | pandemic),7,https://www.europarl.europa.eu/news/en/headlines/society/20200520STO79501/coronavirus-practical-advice-for-safe-travel
3,it is more safe (coronavirus | covid | pandemic),8,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/types-of-emergencies/coronavirus-safety.html
3,it is more safe (coronavirus | covid | pandemic),9,https://www.businessinsider.com/is-train-travel-safe-coronavirus
3,it is more safe (coronavirus | covid | pandemic),10,https://www.weforum.org/agenda/2020/04/covid-19-coronavirus-lockdown-how-safe-go-out-elena-polozova/
