col0,col1,col2
1,"Kang, Bombadil",LOTR
2,Kang Troll,LOTR
3,Shel-Kang,LOTR
4,Eyes of Kang,LOTR
5,Thane Kang,LOTR
6,Kanger of Ithilien,LOTR
7,Kangbor the Fearless,LOTR
8,Ent of Kangorn,LOTR
9,Kangliel,LOTR
10,Kangbacca,Star Wars
11,Kang Solo,Star Wars
12,Supreme Leader Kang,Star Wars
13,Kangalorian and Baby Kanga,Star Wars
14,Grim Dark Kang,Warhammer 40K Conquest
15,Tau Kang,Warhammer 40K Conquest
16,Ork Boyz Kang,Warhammer 40K Conquest
17,Kang Runner ID,Netrunner
18,Kang Corp ID,Netrunner
19,Kang McDuck,Disney
20,Kanthulu,Arkham Horror
21,Kang of Yig,Arkham Horror
22,The Lion Kang,Disney
23,Skanger,Disney
24,The Red Kang,Disney
25,Cuella de Kang,Disney
26,Kanga and Koo,Disney
27,Kang-Krang?,TMNT
28,Shred-Kang,TMNT
29,Lego Kang,Toys
30,Kang the Last Airbender,Avatar
31,Kang Repulsa,Power Rangers
32,Alpha-Kang,Power Rangers
33,Goldkang,Power Rangers
34,Kangzilla,Godzilla
35,Kang Dedede,Kirby
36,Kang Koopa,Mario Bros.
37,Donkey Kang,Donkey Kong
38,Officer John McKang,Movies
39,Bayushi KachiKang,Legend of the Five Rings
40,White Horde Kang,Legend of the Five Rings
41,Kang Baratheon,Game of Thrones
42,Kang Stark,Game of Thrones
43,Kang Lannister,Game of Thrones
44,Kang Greyjoy,Game of Thrones
45,Captain Kang,Star Trek
46,Klangon Hig Council,Star Trek
47,Kangleb Grace and MiKangl Boggs,LCG Design Team
48,Kanginator,Movies
49,Kangy Perry,Pop Culture (should it be?)
50,Kang Kong,Movies
