col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
well_id,fields.well,,,0,,,True,Well ID [plate number]:[well_name],Well ID,True,,,,,string,link,{ 'hrefTemplate': ',,,,,,
plate_number,fields.well,,,1,,,True,Plate number,Plate,True,,,[l;d;report],,integer,link,{ 'hrefTemplate': ',,,,,,
well_name,fields.well,,,2,,,True,Well name [row-letter][column number],Well,True,,,[l;d;report],,string,link,{ 'hrefTemplate': ',,,,,,
library_short_name,fields.well,library,short_name,10,,,True,Library short name,Library,True,,,[l;d;report],,string,link,{ 'hrefTemplate': ',,,,,,
library_name,fields.well,library,library_name,11,,,True,Library name,Library Full Name,True,,,[d;report],,string,link,{ 'hrefTemplate': ',,,,,,
screen_type,fields.well,library,screen_type,12,,,True,The library screen type,Screen Type,True,,screen.type,[d;report],,string,,,select,,,,,
library_well_type,fields.well,,,13,,,True,Library well type,Library Well Type,True,,library.well_type,[l;d;report],[u],string,,,select,,,,TRUE,
is_deprecated,fields.well,,,14,,,True,Is deprecated,Deprecated,True,,,[d;report],[u],boolean,,{ 'hideIfEmpty': true },,,,FALSE,,
deprecation_reason,fields.well,,,15,,,True,Deprecation reason,Deprecation Reason,True,,,[d;report],[u],string,,{ 'hideIfEmpty': true },,,,,,
facility_id,fields.well,,,16,,,True,ID assigned by the facility,Facility ID,True,,,[d],[u],string,,,,,,,,
mg_ml_concentration,fields.well,,,17,,,True,Concentration in mg/ml,Concentration (mg/ml),True,,,[l;d;report],[u],decimal,,"{ 'decimals': 2, 'hideIfEmpty': true }",,,,,,
molar_concentration,fields.well,,,18,,,True,Molar concentration,Molar Concentration,True,,,[l;d;report],[u],decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'M', 'defaultUnit': 1e-3, 'hideIfEmpty': true }",,,,,,
other_wells_with_reagent,fields.well,custom,,80,report,,True,Other wells with the same reagent vendor identifier,Other Wells With Reagent,True,,,[d],,list,link,{ 'hrefTemplate': ',,,,,,
screening_mg_ml_concentration,fields.well,custom,,100,screening,,True,Screening copy concentration (mg/ml),Screening Copy Conc (mg/ml),True,,,[none],,decimal,,"{ 'decimals': 2, 'hideIfEmpty': true }",,TRUE,,,,[readEverythingAdmin]
screening_molar_concentration,fields.well,custom,,101,screening,,True,Screening copy concentration (molar),Screening Copy Conc (molar),True,,,[none],,decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'M', 'defaultUnit': 1e-3, 'hideIfEmpty': true }",,TRUE,,,,[readEverythingAdmin]
screening_mg_ml_concentrations,fields.well,custom,,102,screening,,True,Screening copy concentrations (mg/ml) (use this field if multiple copy concentrations are present),Screening Copy Conc (mg/ml),True,,,[none],,decimal,,"{ 'decimals': 2, 'hideIfEmpty': true }",,TRUE,,,,[readEverythingAdmin]
screening_molar_concentrations,fields.well,custom,,103,screening,,True,Screening copy concentrations (molar) (use this field if multiple copy concentrations are present),Screening Copy Conc (molar),True,,,[none],,decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'M', 'defaultUnit': 1e-3, 'hideIfEmpty': true }",,TRUE,,,,[readEverythingAdmin]
