col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0,,False,,W,bau,False,,DMO_BAU,DMO_BAU,TIDNULL,EA305,,20,0.06,log_timeseries_detailed
1,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_FLAT,DMO_EN_FLAT,PARENT_305_1,EA305,capex_low,20,0.06,
2,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_TOU,DMO_EN_TOU,PARENT_305_1,EA305,capex_low,20,0.06,
3,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_STC,DMO_EN_STC,PARENT_305_1,EA305,capex_low,20,0.06,log_timeseries_detailed
4,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_FLAT,DMO_EN_FLAT,PARENT_305_1,EA305,capex_low,20,0.06,
5,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_TOU,DMO_EN_TOU,PARENT_305_1,EA305,capex_low,20,0.06,
6,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_STC,DMO_EN_STC,PARENT_305_1,EA305,capex_low,20,0.06,log_timeseries_detailed
7,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_FLAT,DMO_EN_FLAT,PARENT_305_1,EA305,capex_med,20,0.06,
8,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_TOU,DMO_EN_TOU,PARENT_305_1,EA305,capex_med,20,0.06,
9,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_STC,DMO_EN_STC,PARENT_305_1,EA305,capex_med,20,0.06,
10,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_FLAT,DMO_EN_FLAT,PARENT_305_1,EA305,capex_med,20,0.06,
11,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_TOU,DMO_EN_TOU,PARENT_305_1,EA305,capex_med,20,0.06,
12,W_max_pv_1kW.csv,True,145.0,W,en_pv,True,W_145_50,DMO_EN_STC,DMO_EN_STC,PARENT_305_1,EA305,capex_med,20,0.06,
13,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_FLAT,DMO_EN_FLAT,PARENT_305_1,EA305,capex_high,20,0.06,
14,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_TOU,DMO_EN_TOU,PARENT_305_1,EA305,capex_high,20,0.06,
15,W_max_pv_1kW.csv,True,75.0,W,en_pv,True,W_75_100,DMO_EN_STC,DMO_EN_STC,PARENT_305_1,EA305,capex_high,20,0.06,
