col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
04T2i000000CacNEAS,,AMER,AMER,North America,Edit,Edit,Edit,Edit,True,,False,0052i000000Frp5AAC,2019-05-07T22:55:32.000+0000,2019-05-07T22:55:32.000+0000
04T2i000000Cae9EAC,04T2i000000CacNEAS,AMER_East,East,Eastern United States,All,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T00:56:35.000+0000,2019-05-16T00:56:35.000+0000
04T2i000000CaeJEAS,04T2i000000CacNEAS,AMER_North,North,Northern United States,Edit,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T00:57:04.000+0000,2019-05-16T00:57:04.000+0000
04T2i000000CaesEAC,04T2i000000CacNEAS,AMER_South,South,Southern United States,Edit,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T00:57:32.000+0000,2019-05-16T00:57:32.000+0000
04T2i000000CaeAEAS,04T2i000000CacNEAS,AMER_West,West,Western United States,All,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T00:57:52.000+0000,2019-05-16T00:57:52.000+0000
04T2i000000CafHEAS,04T2i000000CaeJEAS,Chicago,Chicago,Chicago Metro Area,Edit,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T01:00:37.000+0000,2019-05-16T01:00:37.000+0000
04T2i000000CaeEEAS,,EMEA,EMEA,"Europe, Middle East, and Asia",Edit,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-07T22:56:23.000+0000,2019-05-07T22:56:23.000+0000
04T2i000000Caf7EAC,04T2i000000CaeEEAS,EMEA_East,East,Eastern Europe,Edit,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T00:55:22.000+0000,2019-05-16T00:55:22.000+0000
04T2i000000CaexEAC,04T2i000000CaeEEAS,EMEA_North,North,Northern Europe,All,Edit,Edit,Edit,True,,False,0052i000000Frp5AAC,2019-05-16T00:53:41.000+0000,2019-05-16T00:53:41.000+0000
04T2i000000Caf2EAC,04T2i000000CaeEEAS,EMEA_South,South,Southern Europe,Edit,Read,Edit,Read,False,,False,0052i000000Frp5AAC,2019-05-16T00:54:51.000+0000,2019-05-16T00:54:51.000+0000
04T2i000000CaeOEAS,04T2i000000CaeEEAS,EMEA_West,West,Western Europe,Edit,Edit,Edit,Edit,True,,False,0052i000000Frp5AAC,2019-05-16T00:55:54.000+0000,2019-05-16T00:55:54.000+0000
04T2i000000CafMEAS,04T2i000000CaeOEAS,London,London,London Metro Area,Edit,Edit,Edit,Edit,True,,False,0052i000000Frp5AAC,2019-05-16T01:11:54.000+0000,2019-05-16T01:11:54.000+0000
04T2i000000CafREAS,04T2i000000CafMEAS,London_For_Profit,For-Profit,For-profit accounts in London,Edit,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T01:14:25.000+0000,2019-05-16T01:14:25.000+0000
04T2i000000CafWEAS,04T2i000000CafMEAS,London_Non_Profit,Non-Profit,Non-profit companies in London,Edit,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T01:14:46.000+0000,2019-05-16T01:14:46.000+0000
04T2i000000CafCEAS,04T2i000000CaeAEAS,San_Diego,San Diego,San Diego Metro Area,Edit,Edit,Edit,Edit,False,,False,0052i000000Frp5AAC,2019-05-16T00:58:49.000+0000,2019-05-16T00:58:49.000+0000
