col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
Phocoena-phocoena_NHMSW1954.15_2_reflected.pts,NHMUK_SW1954.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.3374573117010955,-0.2942264796238683,1.253212065370355,-0.3372345172684679,0.3883110861241869,-1.6261843785982166,1.5806909245302807,0.4665273975384411,0.071664206547462,0.0413036279112023,-0.0056761944353661,-0.001705051766307,Left,UK,,251.0
Phocoena-phocoena_NHMUK_1846.12.15.6_2_reflected.pts,365B,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.9387746729844326,0.6559338845190819,0.0181310598005238,0.3748646218174265,-1.5139840224096086,0.5963005894767477,0.3872099682720186,-0.7276602730281762,0.7597658361912535,0.0055643916886366,-0.0071439696398292,0.0040062102282556,Left,UK,,241.0
Phocoena-phocoena_NHMUK_1873.6.3.45_2_reflected.pts,365I,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,2.1310184742158427,-0.2718737833962208,0.0830285324457498,-0.1324529540545754,-1.1880804041885922,1.0970196248431752,0.7226264399105471,-0.2580262329218216,-0.85461270590221,-0.0143525059034132,-0.0153927840802026,-0.0008129611265845478,Left,Atlantic,,
Phocoena-phocoena_NHMUK92.265_2_reflected.pts,NHMUK_92.965,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,3.342527895857856,0.0546323687160367,0.0547854773535514,-0.2782547530939536,-0.1820037018823824,0.6117445868541734,-0.5387123408266268,0.3594330370839929,0.1774553965226442,0.0430611137750607,0.0115124014788733,-0.00014253913561586588,Left,UK,,
Phocoena-phocoena_NHMUK1925.4.29.1_2_reflected.pts,NHMUK_1925.4.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.4638704317604727,0.4118444961472979,-1.2386233473149564,-0.7615369632066066,1.0859997127120322,0.4844119186430394,0.0720402188339363,0.1079806355214849,-0.1938735610276448,-0.0679145618582527,0.0074595963689204,0.0005381053740899,Left,UK,Male,
Phocoena-phocoena_NHMUK1933.15_2_reflected.pts,NHMUK_1933.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.5688974658514374,0.22331737850115,1.7246408530952693,0.899053827680412,-0.4042480618970952,-0.0509324434692853,-0.2990383601732968,-0.5201504488129474,-0.8282654366371139,0.0329263684960011,0.013471688528471,0.0047065248121239,Left,UK,,245.0
Phocoena-phocoena_NHMUK1933.17_2.pts,NHMUK_1933.17,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-4.000291717341219,0.0562068505271166,-1.9097231890622024,-0.1202425063296748,-1.08625275680684,0.8131776432493012,0.5227087292536235,1.0244363769781717,-0.0197803326327509,0.0393525093600063,0.0071061115288389,-0.0008681428387785398,Right,UK,Male,
Phocoena-phocoena_NHMUK1934.45_2_reflected.pts,NHMUK_1934.45,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.340999887537924,0.0813922804152727,1.3885326949564198,-0.9032697870130508,-0.2175966790839956,0.1152813267800332,-0.5641754919448574,0.3576276233695957,0.8290026542988256,-0.0105841626533021,-0.0036429538818372,0.0042829585365827,Left,UK,Male,
Phocoena-phocoena_NHMUK1934.51_2_reflected.pts,NHMUK_1934.51,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-2.187607900295142,2.048489879023378,-0.7350806892248979,0.2360977292722478,-0.1888994985377344,-1.22546707126425,-0.2270528080720332,0.2511161303615831,-0.2260412971251473,-0.0377405326831199,-0.0047575185839541,0.0100309912777708,Left,UK,,251.0
Phocoena-phocoena_NHMUK1965.3.30.1_2_reflected.pts,NHMUK_1965.3.30.1,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,2.9210281617430907,-0.3757074344351448,-1.1299975977956087,3.0812684847868885,0.8763574752850214,-0.1861878159834547,-0.6902360707565471,0.6032086365586589,-0.1333110452741392,0.0158443532603415,-0.0082545735558405,-0.0007795063534642892,Left,UK,Female,259.0
Phocoena-phocoena_NHMUK1992.263_3_reflected.pts,NHMUK_1992.263,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.5618524189932904,0.9887040999873342,-1.9386041803436227,1.408296830304061,0.9601465277699196,-0.1702000061475191,0.7894031768950877,-0.980331485750035,0.3824007182963883,-0.0150184345694025,0.008204646274427,-0.0027351064979357,Left,UK,,
Phocoena-phocoena_NHMUKSW1926.29_2.pts,NHMUK_SW1926.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.4957302220943722,1.6845959177158554,1.2245958215402184,-1.2263626374343444,-0.6248032861149856,-0.8425511875185198,-0.2730336792715819,-0.1336663350720527,-0.1770090927767592,-0.0127889887664504,0.0128321690907248,-0.0053289429518976,Right,UK,Female,271.0
Phocoena-phocoena_NHMUKSW1934.14_2_reflected.pts,NHMUK_SW1934.14,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-1.3210504286342977,1.122224533950554,0.1705009787012348,-1.000927404951564,0.120562275539316,-0.0409818587390053,-0.5715405391438311,0.1830010342866798,-0.1393572942066009,-0.0462031367676036,-0.0133462382455867,-0.0064089888145991,Left,UK,Female,254.0
