col0,col1,col2,col3,col4,col5,col6
Azure Functions, 1.0.11959.0,Dataavailability,Dataavailability,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/abc/providers/microsoft.insights/components/Dataavailability,
DotNet,2.6.4,Bdnfpaymentprocessing,Payment Processing Worker,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/PolyglotmnoDemo/providers/microsoft.insights/components/Bdnfpaymentprocessing,
Node,1.0.2,Bdnfinventory,Web,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/PolyglotmnoDemo/providers/microsoft.insights/components/Bdnfinventory,
Java,2.1.1,Bdnfauthentication,SpringBoot-AuthenticationService,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/PolyglotmnoDemo/providers/microsoft.insights/components/Bdnfauthentication,
Node,1.0.3,nodeEventLoopData,Web,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/abc/providers/microsoft.insights/components/nodeEventLoopData,
DotNet,2.6.1,abc-ExpressApp,abc-expressapp,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/abc/providers/microsoft.insights/components/abc-ExpressApp,
DotNet,2.5.0,xyz,xyz,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/xyzbade/providers/microsoft.insights/components/xyz,
DotNet,2.4.0,at-webapp-win-01,at-webapp-win-01,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/at-webapp-win-01/providers/microsoft.insights/components/at-webapp-win-01,
DotNet,2.5.0,BdnfWidgetsFrontend,Bdnfwidgetsfrontend,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/Demo-Demo/providers/microsoft.insights/components/BdnfWidgetsFrontend,
DotNet,2.6.1,at-fordfield-01-ikey,atwebappnoai04,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/at-fordfield-01/providers/microsoft.insights/components/at-fordfield-01-ikey,
DotNetCore,2.1.1,at-chevyfield-01-ikey,AtWebAppCore20chevyfieldAIProvisionedOldExt,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/at-chevyfield-01-rg/providers/microsoft.insights/components/at-chevyfield-01-ikey,
DotNetCore,2.3.0,test-netcore-win,test-netcore-win,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/testnetcorewinb911/providers/microsoft.insights/components/test-netcore-win,
DotNet,5.0.8,ghi-SDK-MetricsData04-Mixed01,ghi-sdk-metricsData04-mixed01-new01,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/ghiDev/providers/microsoft.insights/components/ghi-SDK-MetricsData04-Mixed01,
DotNet,2.4.1,WebRole1,WebRole1,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/NA-Washington-NA/providers/microsoft.insights/components/WebRole1,
DotNet,2.5.0,InventoryService,inventoryserver,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/Demo-Demo/providers/microsoft.insights/components/InventoryService,
Azure Functions, 1.0.11959.0,defFunctionAppData,deffunctionappData,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/defFunctionAppData/providers/microsoft.insights/components/defFunctionAppData,
DotNetCore,2.4.0,jkl24b1,jkl24b1,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/jklsdk1/providers/microsoft.insights/components/jkl24b1,
DotNetCore,2.1.1,AMTDFactoryMonitor,AMTDFactory,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/ghiDev/providers/microsoft.insights/components/AMTDFactoryMonitor,
,,app24,,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/jklsdk1/providers/microsoft.insights/components/app24,No Request data found
Python,0.11.5,perftest,,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/jklsdk1/providers/microsoft.insights/components/perftest,
DotNet,2.7.0,AMTDFactory25,AMTDfactory2driver,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/ghiDev/providers/microsoft.insights/components/AMTDFactory25,
Azure Functions, 1.0.11913.0,Datanodedependencycollection,Datanodedependencycollection,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/Datanodedependencycollection/providers/microsoft.insights/components/Datanodedependencycollection,
DotNetCore,2.4.0,SDKData240Core,jklsdkData240core,your-subscription-name-or-Id-here,/subscriptions/your-subscription-name-or-Id-here/resourceGroups/jklsdk1/providers/microsoft.insights/components/SDKData240Core,
