col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37
Vanilla,Wood/Leather,,,,,,,,,,,0.0,59.0,0.0,2.0,15.0,1.0,3.0,2.0,1.0,7.0,5.0,,,,,,,,,,,,,,,
Vanilla,Stone/Chainmail,,,,,,,,,,,1.0,131.0,1.0,4.0,5.0,2.0,5.0,4.0,1.0,12.0,15.0,,,,,,,,,,,,,,,
Vanilla,Coal,Respawn,,,,16:0,-,-,-,-,1.0,,,,,,,,,,,,,,20.0,16.0,0.0,128.0,100.0,100.0,0 2-100000,0.0,0.0,0.0,16.0,173.0,
Vanilla,Iron,Respawn,,,,15:0,42:0,900:3,26900,3,1.0,2.0,250.0,2.0,6.0,14.0,2.0,6.0,5.0,2.0,15.0,15.0,,,20.0,8.0,0.0,64.0,100.0,100.0,0 2-100000,0.0,1.0,0.0,15.0,42.0,900.0
Vanilla,Gold,Respawn,,,,14:0,41:0,900:4,26910,9,2.0,0.0,32.0,3.0,12.0,22.0,2.0,5.0,3.0,1.0,11.0,7.0,,,2.0,8.0,0.0,32.0,100.0,100.0,0 2-100000,0.0,0.0,0.0,14.0,41.0,900.0
Vanilla,Diamond,Respawn,,,,56:0,57:0,-,26920,45,2.0,3.0,1561.0,0.0,8.0,10.0,3.0,8.0,6.0,3.0,20.0,33.0,,,1.0,7.0,0.0,16.0,100.0,100.0,0 2-100000,0.0,0.0,0.0,56.0,57.0,
Vanilla,Redstone,Respawn,,,,73:0,73:0,-,-,-,2.0,,,,,,,,,,,,,,8.0,7.0,0.0,16.0,100.0,100.0,0 2-100000,0.0,0.0,0.0,73.0,152.0,
Vanilla,Lapis Lazuli,Respawn,,,,21:0,22:0,-,-,-,1.0,,,,,,,,,,,,,,1.0,6.0,0.0,16.0,100.0,100.0,0 2-100000,0.0,0.0,0.0,21.0,22.0,
Vanilla,Emerald,Respawn,,,,129:0,133:0,-,-,-,2.0,,,,,,,,,,,,,,9.0,3.0,4.0,32.0,100.0,30.0,0 2-100000,0.0,0.0,0.0,129.0,133.0,
Vanilla,Quartz,Respawn,,,,153:0,155:0,-,-,-,1.0,,,,,,,,,,,,,,16.0,13.0,10.0,118.0,100.0,100.0,-1,0.0,0.0,0.0,153.0,155.0,
Base,Copper,Ore,,,,900:00,901:00,901:08,26250,1,1.0,1.0,180.0,1.0,5.0,5.0,2.0,3.0,2.0,1.0,8.0,10.0,120.0,6.0,12.0,6.0,0.0,128.0,100.0,100.0,0 2-100000,0.0,3.0,3.0,901.0,902.0,903.0
Base,Tin,Catalyst,,,,900:01,901:01,901:09,26300,1,1.0,,,,,,,,,,,,100.0,4.0,10.0,7.0,0.0,128.0,100.0,100.0,0 2-100000,1.0,4.0,4.0,901.0,902.0,903.0
Base,Manganese,Catalyst,,,,900:02,901:02,901:10,26350,3,2.0,,,,,,,,,,,,45.0,2.0,5.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,2.0,7.0,7.0,901.0,902.0,903.0
Base,Bronze,Alloy,,,"""Copper"" ""Tin""",,901:03,901:11,26400,2,2.0,2.0,250.0,1.0,6.0,9.0,2.0,4.0,3.0,3.0,12.0,13.0,80.0,3.0,,,,,,,,,1.0,1.0,,902.0,903.0
Base,Hepatizon,Alloy,,,"""Bronze"" ""Gold""",,901:04,901:12,26450,8,2.0,2.0,300.0,1.0,10.0,22.0,2.0,4.0,3.0,3.0,12.0,14.0,80.0,3.0,,,,,,,,,0.0,0.0,,902.0,903.0
Base,Damascus Steel,Alloy,,,"""Iron"" ""Bronze""",,901:05,901:13,26500,5,2.0,3.0,500.0,2.0,6.0,19.0,3.0,6.0,5.0,3.0,17.0,20.0,60.0,2.0,,,,,,,,,6.0,6.0,,902.0,903.0
Base,Angmallen,Alloy,,,"""Iron"" ""Gold""",,901:06,901:14,26550,9,2.0,2.0,300.0,2.0,10.0,30.0,3.0,6.0,5.0,3.0,17.0,18.0,55.0,2.0,,,,,,,,,2.0,2.0,,902.0,903.0
Base,Steel,Alloy,,,"""Iron"" ""Manganese""",,901:07,901:15,26600,6,2.0,3.0,750.0,3.0,8.0,18.0,3.0,6.0,5.0,3.0,17.0,22.0,45.0,2.0,,,,,,,,,5.0,5.0,,902.0,903.0
Precious,Zinc,Catalyst,,,,902:0,902:4,902:9,26650,3,0.0,,,,,,,,,,,,40.0,4.0,6.0,5.0,0.0,128.0,100.0,100.0,0 2-100000,0.0,1.0,1.0,904.0,905.0,906.0
Precious,Silver,Ore,,,,902:1,902:5,902:10,26700,20,1.0,1.0,25.0,1.0,16.0,20.0,2.0,4.0,3.0,2.0,,5.0,18.0,3.0,5.0,5.0,0.0,128.0,100.0,100.0,0 2-100000,2.0,3.0,3.0,904.0,905.0,906.0
Precious,Platinum,Ore,,,,902:3,902:6,902:11,26750,50,2.0,2.0,100.0,1.0,24.0,50.0,3.0,6.0,5.0,3.0,,11.0,4.0,1.0,3.0,3.0,0.0,128.0,100.0,100.0,0 2-100000,1.0,2.0,2.0,904.0,905.0,906.0
Precious,Brass,Alloy,,,"""Copper"" ""Zinc""",,902:7,902:12,26800,18,0.0,0.0,15.0,1.0,12.0,18.0,2.0,3.0,2.0,1.0,,3.0,25.0,3.0,,,,,,,,,4.0,4.0,,905.0,906.0
Precious,Electrum,Alloy,,,"""Gold"" ""Silver""",,902:8,902:13,26850,30,1.0,1.0,100.0,1.0,20.0,30.0,2.0,6.0,5.0,3.0,,9.0,10.0,2.0,,,,,,,,,0.0,0.0,,905.0,906.0
Nether,Ignatius,Ore,,,,903:0,903:13,904:10,26900,1,1.0,1.0,200.0,2.0,4.0,15.0,2.0,6.0,5.0,2.0,15.0,15.0,0.0,0.0,9.0,6.0,0.0,128.0,100.0,100.0,-1,2.0,3.0,3.0,907.0,908.0,909.0
Nether,Shadow Iron,Ore,,,,903:1,903:14,904:11,26950,2,1.0,1.0,300.0,2.0,4.0,3.0,3.0,6.0,5.0,2.0,16.0,16.0,0.0,0.0,7.0,6.0,0.0,128.0,100.0,100.0,-1,6.0,8.0,8.0,907.0,908.0,909.0
Nether,Lemurite,Catalyst,,,,903:2,903:15,904:12,27000,2,1.0,,,,,,,,,,,,0.0,0.0,6.0,6.0,0.0,128.0,100.0,100.0,-1,0.0,0.0,0.0,907.0,908.0,909.0
Nether,Midasium,Ore,,,,903:3,904:0,904:13,27050,3,2.0,3.0,100.0,3.0,10.0,35.0,2.0,5.0,3.0,3.0,13.0,8.0,0.0,0.0,5.0,6.0,0.0,128.0,100.0,100.0,-1,1.0,1.0,1.0,907.0,908.0,909.0
