col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
0,0,ENST00000373020.8,ENSG00000000003.14,2206,2158.0,8.95,0.13,0.1,88.37,>ENST00000373020.8|ENSG00000000003.14|OTTHUMG00000022002.1|OTTHUMT00000057483.1|TSPAN6-201|TSPAN6|2206|protein_coding|,323232294,323234537.76666665,ENST00000373020.8,>ENST00000373020.8|ENSG00000000003.14|OTTHUMG00000022002.1|OTTHUMT00000057483.1|TSPAN6-201|TSPAN6|2206|protein_coding|,323232294,323234537.76666665,ENST00000373020.8
1,1,ENST00000612152.4,ENSG00000000003.14,3796,3748.0,2.05,0.02,0.01,11.63,>ENST00000612152.4|ENSG00000000003.14|OTTHUMG00000022002.1|-|TSPAN6-204|TSPAN6|3796|protein_coding|,323228315,323232175.26666665,ENST00000612152.4,>ENST00000612152.4|ENSG00000000003.14|OTTHUMG00000022002.1|-|TSPAN6-204|TSPAN6|3796|protein_coding|,323228315,323232175.26666665,ENST00000612152.4
2,2,ENST00000371584.8,ENSG00000000419.12,1073,1025.0,94.67,2.89,2.29,29.81,>ENST00000371584.8|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079718.2|DPM1-202|DPM1|1073|protein_coding|,303735161,303736252.8833333,ENST00000371584.8,>ENST00000371584.8|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079718.2|DPM1-202|DPM1|1073|protein_coding|,303735161,303736252.8833333,ENST00000371584.8
3,3,ENST00000371588.9,ENSG00000000419.12,1075,1027.0,147.94,4.51,3.57,46.49,>ENST00000371588.9|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079716.1|DPM1-203|DPM1|1075|protein_coding|,303730497,303731590.9166667,ENST00000371588.9,>ENST00000371588.9|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079716.1|DPM1-203|DPM1|1075|protein_coding|,303730497,303731590.9166667,ENST00000371588.9
4,4,ENST00000413082.1,ENSG00000000419.12,672,624.0,14.9,0.75,0.59,7.7,>ENST00000413082.1|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079719.2|DPM1-204|DPM1|672|protein_coding|,303736366,303737050.2,ENST00000413082.1,>ENST00000413082.1|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079719.2|DPM1-204|DPM1|672|protein_coding|,303736366,303737050.2,ENST00000413082.1
5,5,ENST00000466152.5,ENSG00000000419.12,1097,1049.0,33.22,0.99,0.79,10.22,>ENST00000466152.5|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079717.1|DPM1-205|DPM1|1097|processed_transcript|,303731711,303732827.28333336,ENST00000466152.5,>ENST00000466152.5|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079717.1|DPM1-205|DPM1|1097|processed_transcript|,303731711,303732827.28333336,ENST00000466152.5
6,6,ENST00000494752.1,ENSG00000000419.12,789,741.0,13.27,0.56,0.44,5.78,>ENST00000494752.1|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079721.2|DPM1-206|DPM1|789|processed_transcript|,303734243,303735046.15,ENST00000494752.1,>ENST00000494752.1|ENSG00000000419.12|OTTHUMG00000032742.2|OTTHUMT00000079721.2|DPM1-206|DPM1|789|processed_transcript|,303734243,303735046.15,ENST00000494752.1
7,7,ENST00000367770.5,ENSG00000000457.13,2916,2868.0,234.23,2.56,2.03,49.7,>ENST00000367770.5|ENSG00000000457.13|OTTHUMG00000035941.5|OTTHUMT00000087550.4|SCYL3-201|SCYL3|2916|protein_coding|,22498377,22501342.6,ENST00000367770.5,>ENST00000367770.5|ENSG00000000457.13|OTTHUMG00000035941.5|OTTHUMT00000087550.4|SCYL3-201|SCYL3|2916|protein_coding|,22498377,22501342.6,ENST00000367770.5
8,8,ENST00000470238.1,ENSG00000000457.13,1538,1490.0,7.57,0.16,0.13,3.09,>ENST00000470238.1|ENSG00000000457.13|OTTHUMG00000035941.5|OTTHUMT00000087552.1|SCYL3-205|SCYL3|1538|processed_transcript|,22506934,22508498.633333333,ENST00000470238.1,>ENST00000470238.1|ENSG00000000457.13|OTTHUMG00000035941.5|OTTHUMT00000087552.1|SCYL3-205|SCYL3|1538|processed_transcript|,22506934,22508498.633333333,ENST00000470238.1
9,9,ENST00000459772.5,ENSG00000000460.16,3727,3679.0,41.27,0.35,0.28,40.72,>ENST00000459772.5|ENSG00000000460.16|OTTHUMG00000035821.8|OTTHUMT00000087236.5|C1orf112-204|C1orf112|3727|nonsense_mediated_decay|,22450713,22454503.116666667,ENST00000459772.5,>ENST00000459772.5|ENSG00000000460.16|OTTHUMG00000035821.8|OTTHUMT00000087236.5|C1orf112-204|C1orf112|3727|nonsense_mediated_decay|,22450713,22454503.116666667,ENST00000459772.5
10,10,ENST00000498289.5,ENSG00000000460.16,3849,3801.0,55.69,0.46,0.36,53.18,>ENST00000498289.5|ENSG00000000460.16|OTTHUMG00000035821.8|OTTHUMT00000087127.5|C1orf112-209|C1orf112|3849|processed_transcript|,22438635,22442549.15,ENST00000498289.5,>ENST00000498289.5|ENSG00000000460.16|OTTHUMG00000035821.8|OTTHUMT00000087127.5|C1orf112-209|C1orf112|3849|processed_transcript|,22438635,22442549.15,ENST00000498289.5
11,11,ENST00000374003.7,ENSG00000000938.12,2021,1973.0,171.34,2.72,2.15,0.52,>ENST00000374003.7|ENSG00000000938.12|OTTHUMG00000003516.2|OTTHUMT00000009773.1|FGR-201|FGR|2021|protein_coding|,5485111,5487166.683333334,ENST00000374003.7,>ENST00000374003.7|ENSG00000000938.12|OTTHUMG00000003516.2|OTTHUMT00000009773.1|FGR-201|FGR|2021|protein_coding|,5485111,5487166.683333334,ENST00000374003.7
12,12,ENST00000374004.5,ENSG00000000938.12,2350,2302.0,28364.42,385.93,305.73,73.51,>ENST00000374004.5|ENSG00000000938.12|OTTHUMG00000003516.2|OTTHUMT00000009775.1|FGR-202|FGR|2350|protein_coding|,5482608,5484998.166666667,ENST00000374004.5,>ENST00000374004.5|ENSG00000000938.12|OTTHUMG00000003516.2|OTTHUMT00000009775.1|FGR-202|FGR|2350|protein_coding|,5482608,5484998.166666667,ENST00000374004.5
13,13,ENST00000374005.7,ENSG00000000938.12,2729,2681.0,2393.82,27.97,22.15,5.33,>ENST00000374005.7|ENSG00000000938.12|OTTHUMG00000003516.2|OTTHUMT00000009772.1|FGR-203|FGR|2729|protein_coding|,5477101,5479876.483333333,ENST00000374005.7,>ENST00000374005.7|ENSG00000000938.12|OTTHUMG00000003516.2|OTTHUMT00000009772.1|FGR-203|FGR|2729|protein_coding|,5477101,5479876.483333333,ENST00000374005.7
14,14,ENST00000399173.5,ENSG00000000938.12,2483,2435.0,5122.51,65.89,52.2,12.55,>ENST00000399173.5|ENSG00000000938.12|OTTHUMG00000003516.2|-|FGR-204|FGR|2483|protein_coding|,5479970,5482495.383333334,ENST00000399173.5,>ENST00000399173.5|ENSG00000000938.12|OTTHUMG00000003516.2|-|FGR-204|FGR|2483|protein_coding|,5479970,5482495.383333334,ENST00000399173.5
15,15,ENST00000475472.5,ENSG00000000938.12,679,631.0,856.78,42.53,33.69,8.1,>ENST00000475472.5|ENSG00000000938.12|OTTHUMG00000003516.2|OTTHUMT00000009776.1|FGR-207|FGR|679|processed_transcript|,5488520,5489211.316666666,ENST00000475472.5,>ENST00000475472.5|ENSG00000000938.12|OTTHUMG00000003516.2|OTTHUMT00000009776.1|FGR-207|FGR|679|processed_transcript|,5488520,5489211.316666666,ENST00000475472.5
16,16,ENST00000359637.2,ENSG00000000971.15,1454,1406.0,15.02,0.33,0.27,30.3,>ENST00000359637.2|ENSG00000000971.15|OTTHUMG00000035607.5|OTTHUMT00000087502.1|CFH-201|CFH|1454|protein_coding|,24446431,24447910.23333333,ENST00000359637.2,>ENST00000359637.2|ENSG00000000971.15|OTTHUMG00000035607.5|OTTHUMT00000087502.1|CFH-201|CFH|1454|protein_coding|,24446431,24447910.23333333,ENST00000359637.2
17,17,ENST00000367429.8,ENSG00000000971.15,4127,4079.0,91.92,0.71,0.56,63.92,>ENST00000367429.8|ENSG00000000971.15|OTTHUMG00000035607.5|OTTHUMT00000086412.2|CFH-202|CFH|4127|protein_coding|,24439645,24443841.78333333,ENST00000367429.8,>ENST00000367429.8|ENSG00000000971.15|OTTHUMG00000035607.5|OTTHUMT00000086412.2|CFH-202|CFH|4127|protein_coding|,24439645,24443841.78333333,ENST00000367429.8
18,18,ENST00000466229.5,ENSG00000000971.15,6985,6937.0,14.12,0.06,0.05,5.78,>ENST00000466229.5|ENSG00000000971.15|OTTHUMG00000035607.5|OTTHUMT00000317692.1|CFH-203|CFH|6985|retained_intron|,24448024,24455126.41666667,ENST00000466229.5,>ENST00000466229.5|ENSG00000000971.15|OTTHUMG00000035607.5|OTTHUMT00000317692.1|CFH-203|CFH|6985|retained_intron|,24448024,24455126.416666668,ENST00000466229.5
19,19,ENST00000367585.1,ENSG00000001036.13,646,598.0,5.72,0.3,0.24,3.95,>ENST00000367585.1|ENSG00000001036.13|OTTHUMG00000015728.2|OTTHUMT00000042522.2|FUCA2-202|FUCA2|646|processed_transcript|,116669374,116670031.76666668,ENST00000367585.1,>ENST00000367585.1|ENSG00000001036.13|OTTHUMG00000015728.2|OTTHUMT00000042522.2|FUCA2-202|FUCA2|646|processed_transcript|,116669374,116670031.76666668,ENST00000367585.1
