col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42
1,Tax,,0,,False,Tax,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,Tax,,False,,0.0,,,,,,,False,False,0
2,Shipping,,0,,False,Freight,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,Shipping,,False,,0.0,,,,,,,False,False,0
3,Tax2,,0,,False,Tax2,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,Tax2,,False,,0.0,,,,,,,False,False,0
4,Miscellaneous,,0,,False,Miscellaneous,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,Miscellaneous,,False,,0.0,,,,,,,False,False,0
10,Running Shoes,2.0,0,2009-06-23T21:24:00.000,False,running shoes,0,2009-06-23T00:32:42.000,,,,,0,False,False,False,False,,,0,3,,,,,,,,,,True,,10.0,,,,,,,False,False,0
11,Sandals,2.0,0,,False,Sandals,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,,,True,,5.0,,,,,,,False,False,0
12,Flip flops,2.0,0,,False,Flip flops,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,,,True,,12.0,,,,,,,False,False,0
20,Consulting,2.0,0,,False,Consulting,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,,,False,,175.0,,,,,,,False,False,0
21,Expenses,2.0,0,,False,Expenses,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,,,False,,0.0,,,,,,,False,False,0
22,Materials,2.0,0,,False,Materials,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,,,False,,0.0,,,,,,,False,False,0
23,Equipment,2.0,0,,False,Equipment,0,,,,,,0,False,False,False,False,,,0,3,,,,,,,,,,True,,0.0,,,,,,,False,False,0
